# UKIDSS-R_qe
# photon
# from FILTER.RES.DR34.latest
5.72500e+03 0.00000e+00
5.74500e+03 0.00000e+00
5.76500e+03 1.19077e-02
5.78500e+03 2.52635e-02
5.80500e+03 5.61693e-02
5.82500e+03 1.05856e-01
5.84500e+03 1.74838e-01
5.86500e+03 2.58527e-01
5.88500e+03 3.50240e-01
5.90500e+03 4.41040e-01
5.92500e+03 5.23801e-01
5.94500e+03 5.95334e-01
5.96500e+03 6.54696e-01
5.98500e+03 7.03354e-01
6.00500e+03 7.42793e-01
6.02500e+03 7.75372e-01
6.04500e+03 8.02341e-01
6.06500e+03 8.25907e-01
6.08500e+03 8.47713e-01
6.10500e+03 8.68333e-01
6.12500e+03 8.86956e-01
6.14500e+03 9.02480e-01
6.16500e+03 9.14372e-01
6.18500e+03 9.23926e-01
6.20500e+03 9.31808e-01
6.22500e+03 9.38243e-01
6.24500e+03 9.43416e-01
6.26500e+03 9.47404e-01
6.28500e+03 9.52217e-01
6.30500e+03 9.58524e-01
6.32500e+03 9.65242e-01
6.34500e+03 9.71134e-01
6.36500e+03 9.74941e-01
6.38500e+03 9.78656e-01
6.40500e+03 9.83044e-01
6.42500e+03 9.88856e-01
6.44500e+03 9.94401e-01
6.46500e+03 9.98206e-01
6.48500e+03 1.00000e+00
6.50500e+03 9.98372e-01
6.52500e+03 9.93630e-01
6.54500e+03 9.87795e-01
6.56500e+03 9.81097e-01
6.58500e+03 9.74526e-01
6.60500e+03 9.69224e-01
6.62500e+03 9.67008e-01
6.64500e+03 9.69880e-01
6.66500e+03 9.76813e-01
6.68500e+03 9.84920e-01
6.70500e+03 9.91744e-01
6.72500e+03 9.94725e-01
6.74500e+03 9.92022e-01
6.76500e+03 9.84451e-01
6.78500e+03 9.73176e-01
6.80500e+03 9.61829e-01
6.82500e+03 9.54663e-01
6.84500e+03 9.52205e-01
6.86500e+03 9.55501e-01
6.88500e+03 9.63361e-01
6.90500e+03 9.72261e-01
6.92500e+03 9.75885e-01
6.94500e+03 9.67094e-01
6.96500e+03 9.41599e-01
6.98500e+03 8.97493e-01
7.00500e+03 8.37669e-01
7.02500e+03 7.67070e-01
7.04500e+03 6.87886e-01
7.06500e+03 6.01605e-01
7.08500e+03 5.11227e-01
7.10500e+03 4.18765e-01
7.12500e+03 3.28661e-01
7.14500e+03 2.48143e-01
7.16500e+03 1.81168e-01
7.18500e+03 1.29240e-01
7.20500e+03 9.17342e-02
7.22500e+03 6.52181e-02
7.24500e+03 4.71261e-02
7.26500e+03 3.47044e-02
7.28500e+03 2.61287e-02
7.30500e+03 2.01913e-02
7.32500e+03 1.59655e-02
7.34500e+03 1.28090e-02
7.36500e+03 1.04986e-02
7.38500e+03 8.77619e-03
7.40500e+03 7.32320e-03
7.42500e+03 6.23032e-03
7.44500e+03 5.34858e-03
7.46500e+03 4.42895e-03
7.48500e+03 3.68154e-03
7.50500e+03 3.18411e-03
7.52500e+03 2.76509e-03
7.54500e+03 0.00000e+00
7.56500e+03 0.00000e+00
