# UKIDSS-Table02_online
# photon
# from FILTER.RES.DR34.latest
7.99500e+03 0.00000e+00
8.02000e+03 0.00000e+00
8.04500e+03 3.43036e-03
8.07000e+03 4.19413e-03
8.09500e+03 5.78870e-03
8.12000e+03 8.03988e-03
8.14500e+03 1.14970e-02
8.17000e+03 1.76074e-02
8.19500e+03 2.75500e-02
8.22000e+03 4.35493e-02
8.24500e+03 7.43153e-02
8.27000e+03 1.26628e-01
8.29500e+03 2.01359e-01
8.32000e+03 3.00892e-01
8.34500e+03 4.21437e-01
8.37000e+03 5.49780e-01
8.39500e+03 6.64885e-01
8.42000e+03 7.53685e-01
8.44500e+03 8.15445e-01
8.47000e+03 8.47068e-01
8.49500e+03 8.59731e-01
8.52000e+03 8.66886e-01
8.54500e+03 8.71094e-01
8.57000e+03 8.76695e-01
8.59500e+03 8.88809e-01
8.62000e+03 9.04741e-01
8.64500e+03 9.18462e-01
8.67000e+03 9.26797e-01
8.69500e+03 9.30482e-01
8.72000e+03 9.33845e-01
8.74500e+03 9.41537e-01
8.77000e+03 9.52538e-01
8.79500e+03 9.62856e-01
8.82000e+03 9.70333e-01
8.84500e+03 9.75612e-01
8.87000e+03 9.81334e-01
8.89500e+03 9.88356e-01
8.92000e+03 9.94546e-01
8.94500e+03 9.95069e-01
8.97000e+03 9.83451e-01
8.99500e+03 9.65844e-01
9.02000e+03 9.71954e-01
9.04500e+03 9.94680e-01
9.07000e+03 9.70065e-01
9.09500e+03 9.70467e-01
9.12000e+03 9.88423e-01
9.14500e+03 9.94801e-01
9.17000e+03 9.98982e-01
9.19500e+03 1.00000e+00
9.22000e+03 9.64987e-01
9.24500e+03 8.81720e-01
9.27000e+03 6.98947e-01
9.29500e+03 4.34354e-01
9.32000e+03 2.16581e-01
9.34500e+03 1.10187e-01
9.37000e+03 5.87715e-02
9.39500e+03 3.17709e-02
9.42000e+03 1.76207e-02
9.44500e+03 1.15640e-02
9.47000e+03 8.34807e-03
9.49500e+03 5.30632e-03
9.52000e+03 3.64474e-03
9.54500e+03 2.89436e-03
9.57000e+03 2.35836e-03
9.59500e+03 1.82237e-03
9.62000e+03 0.00000e+00
9.64500e+03 0.00000e+00
