# UKIDSS-i_qe
# photon
# from FILTER.RES.DR34.latest
6.67500e+03 0.00000e+00
6.70000e+03 0.00000e+00
6.72500e+03 1.50501e-02
6.75000e+03 3.08374e-02
6.77500e+03 6.68053e-02
6.80000e+03 1.24584e-01
6.82500e+03 2.04187e-01
6.85000e+03 3.00471e-01
6.87500e+03 4.04562e-01
6.90000e+03 5.07149e-01
6.92500e+03 6.00820e-01
6.95000e+03 6.80993e-01
6.97500e+03 7.45581e-01
7.00000e+03 7.95107e-01
7.02500e+03 8.31490e-01
7.05000e+03 8.57580e-01
7.07500e+03 8.76642e-01
7.10000e+03 8.91819e-01
7.12500e+03 9.05214e-01
7.15000e+03 9.18033e-01
7.17500e+03 9.30460e-01
7.20000e+03 9.41792e-01
7.22500e+03 9.51140e-01
7.25000e+03 9.57951e-01
7.27500e+03 9.62812e-01
7.30000e+03 9.64931e-01
7.32500e+03 9.64503e-01
7.35000e+03 9.63123e-01
7.37500e+03 9.61334e-01
7.40000e+03 9.61348e-01
7.42500e+03 9.62981e-01
7.45000e+03 9.66642e-01
7.47500e+03 9.71199e-01
7.50000e+03 9.75855e-01
7.52500e+03 9.79899e-01
7.55000e+03 9.82505e-01
7.57500e+03 9.82201e-01
7.60000e+03 9.78999e-01
7.62500e+03 9.75152e-01
7.65000e+03 9.71320e-01
7.67500e+03 9.70064e-01
7.70000e+03 9.71753e-01
7.72500e+03 9.74099e-01
7.75000e+03 9.78602e-01
7.77500e+03 9.84433e-01
7.80000e+03 9.90938e-01
7.82500e+03 9.96876e-01
7.85000e+03 1.00000e+00
7.87500e+03 9.98925e-01
7.90000e+03 9.96302e-01
7.92500e+03 9.92628e-01
7.95000e+03 9.89280e-01
7.97500e+03 9.86573e-01
8.00000e+03 9.83063e-01
8.02500e+03 9.73299e-01
8.05000e+03 9.61985e-01
8.07500e+03 9.51372e-01
8.10000e+03 9.42667e-01
8.12500e+03 9.36810e-01
8.15000e+03 9.30776e-01
8.17500e+03 9.23123e-01
8.20000e+03 9.11565e-01
8.22500e+03 8.97670e-01
8.25000e+03 8.81591e-01
8.27500e+03 8.63584e-01
8.30000e+03 8.42984e-01
8.32500e+03 8.17762e-01
8.35000e+03 7.83215e-01
8.37500e+03 7.31259e-01
8.40000e+03 6.54419e-01
8.42500e+03 5.51353e-01
8.45000e+03 4.31433e-01
8.47500e+03 3.10849e-01
8.50000e+03 2.06139e-01
8.52500e+03 1.26713e-01
8.55000e+03 7.35304e-02
8.57500e+03 4.12068e-02
8.60000e+03 2.32384e-02
8.62500e+03 1.37675e-02
8.65000e+03 9.01166e-03
8.67500e+03 6.62052e-03
8.70000e+03 5.26251e-03
8.72500e+03 4.43611e-03
8.75000e+03 3.94228e-03
8.77500e+03 3.70586e-03
8.80000e+03 3.55629e-03
8.82500e+03 3.41207e-03
8.85000e+03 3.14698e-03
8.87500e+03 2.97791e-03
8.90000e+03 2.89035e-03
8.92500e+03 2.78993e-03
8.95000e+03 2.67719e-03
8.97500e+03 2.44926e-03
9.00000e+03 2.22115e-03
9.02500e+03 0.00000e+00
9.05000e+03 0.00000e+00
