# VLT-VST.OCam.sdss.g
# photon
# from FILTER.RES.DR34.latest
3.48793e+03 0.00000e+00
3.49748e+03 0.00000e+00
3.50703e+03 0.00000e+00
3.51658e+03 0.00000e+00
3.52613e+03 0.00000e+00
3.53568e+03 0.00000e+00
3.54523e+03 0.00000e+00
3.55477e+03 0.00000e+00
3.56432e+03 0.00000e+00
3.57387e+03 0.00000e+00
3.58342e+03 0.00000e+00
3.59297e+03 0.00000e+00
3.60252e+03 0.00000e+00
3.61207e+03 0.00000e+00
3.62162e+03 0.00000e+00
3.63117e+03 0.00000e+00
3.64072e+03 0.00000e+00
3.65026e+03 0.00000e+00
3.65981e+03 0.00000e+00
3.66936e+03 0.00000e+00
3.67891e+03 0.00000e+00
3.68846e+03 0.00000e+00
3.69801e+03 0.00000e+00
3.70756e+03 -6.81302e-06
3.71711e+03 1.11663e-04
3.72666e+03 7.68915e-04
3.73620e+03 1.55498e-03
3.74575e+03 2.51171e-03
3.75530e+03 4.68151e-03
3.76485e+03 7.30255e-03
3.77440e+03 1.01618e-02
3.78395e+03 1.57868e-02
3.79350e+03 2.30804e-02
3.80305e+03 3.06397e-02
3.81260e+03 3.62723e-02
3.82215e+03 3.76895e-02
3.83169e+03 3.40870e-02
3.84124e+03 3.64113e-02
3.85079e+03 4.01065e-02
3.86034e+03 4.34425e-02
3.86989e+03 5.20123e-02
3.87944e+03 7.62610e-02
3.88899e+03 1.00930e-01
3.89854e+03 1.38231e-01
3.90809e+03 2.15294e-01
3.91763e+03 2.99236e-01
3.92718e+03 4.05259e-01
3.93673e+03 6.17562e-01
3.94628e+03 8.61724e-01
3.95583e+03 1.12447e+00
3.96538e+03 1.51440e+00
3.97493e+03 1.96661e+00
3.98448e+03 2.43451e+00
3.99403e+03 3.04586e+00
4.00358e+03 3.74129e+00
4.01312e+03 4.41892e+00
4.02267e+03 5.48402e+00
4.03222e+03 6.90226e+00
4.04177e+03 8.32993e+00
4.05132e+03 1.00168e+01
4.06087e+03 1.21061e+01
4.07042e+03 1.42267e+01
4.07997e+03 1.61407e+01
4.08952e+03 1.75863e+01
4.09906e+03 1.90123e+01
4.10861e+03 2.02194e+01
4.11816e+03 2.07718e+01
4.12771e+03 2.12450e+01
4.13726e+03 2.17213e+01
4.14681e+03 2.19413e+01
4.15636e+03 2.21501e+01
4.16591e+03 2.23566e+01
4.17546e+03 2.24821e+01
4.18501e+03 2.25725e+01
4.19455e+03 2.26675e+01
4.20410e+03 2.29563e+01
4.21365e+03 2.33891e+01
4.22320e+03 2.38282e+01
4.23275e+03 2.42171e+01
4.24230e+03 2.45496e+01
4.25185e+03 2.48866e+01
4.26140e+03 2.51439e+01
4.27095e+03 2.52400e+01
4.28049e+03 2.53258e+01
4.29004e+03 2.55249e+01
4.29959e+03 2.59693e+01
4.30914e+03 2.64116e+01
4.31869e+03 2.68177e+01
4.32824e+03 2.69212e+01
4.33779e+03 2.70254e+01
4.34734e+03 2.71261e+01
4.35689e+03 2.72058e+01
4.36644e+03 2.72792e+01
4.37598e+03 2.73557e+01
4.38553e+03 2.74738e+01
4.39508e+03 2.76122e+01
4.40463e+03 2.77278e+01
4.41418e+03 2.79404e+01
4.42373e+03 2.82495e+01
4.43328e+03 2.85611e+01
4.44283e+03 2.87353e+01
4.45238e+03 2.87450e+01
4.46192e+03 2.87558e+01
4.47147e+03 2.87459e+01
4.48102e+03 2.87029e+01
4.49057e+03 2.86544e+01
4.50012e+03 2.86422e+01
4.50967e+03 2.87616e+01
4.51922e+03 2.88822e+01
4.52877e+03 2.90236e+01
4.53832e+03 2.92364e+01
4.54787e+03 2.94677e+01
4.55741e+03 2.96759e+01
4.56696e+03 2.97228e+01
4.57651e+03 2.97183e+01
4.58606e+03 2.97273e+01
4.59561e+03 2.99240e+01
4.60516e+03 3.01891e+01
4.61471e+03 3.04291e+01
4.62426e+03 3.06356e+01
4.63381e+03 3.08179e+01
4.64335e+03 3.10101e+01
4.65290e+03 3.09615e+01
4.66245e+03 3.06583e+01
4.67200e+03 3.03403e+01
4.68155e+03 3.01919e+01
4.69110e+03 3.04262e+01
4.70065e+03 3.06558e+01
4.71020e+03 3.08455e+01
4.71975e+03 3.10660e+01
