# VLT-VST.OCam.sdss.i
# photon
# from FILTER.RES.DR34.latest
5.97072e+03 0.00000e+00
5.98573e+03 0.00000e+00
6.00073e+03 0.00000e+00
6.01573e+03 0.00000e+00
6.03074e+03 0.00000e+00
6.04574e+03 0.00000e+00
6.06075e+03 0.00000e+00
6.07575e+03 0.00000e+00
6.09075e+03 0.00000e+00
6.10576e+03 0.00000e+00
6.12076e+03 0.00000e+00
6.13577e+03 0.00000e+00
6.15077e+03 0.00000e+00
6.16577e+03 0.00000e+00
6.18078e+03 0.00000e+00
6.19578e+03 0.00000e+00
6.21079e+03 0.00000e+00
6.22579e+03 0.00000e+00
6.24079e+03 0.00000e+00
6.25580e+03 0.00000e+00
6.27080e+03 0.00000e+00
6.28581e+03 -2.79339e-05
6.30081e+03 4.04135e-04
6.31582e+03 2.71416e-03
6.33082e+03 5.89949e-03
6.34582e+03 1.09149e-02
6.36083e+03 1.83188e-02
6.37583e+03 3.28558e-02
6.39084e+03 5.41365e-02
6.40584e+03 9.66663e-02
6.42084e+03 1.42336e-01
6.43585e+03 1.82881e-01
6.45085e+03 2.15737e-01
6.46586e+03 2.19420e-01
6.48086e+03 2.16707e-01
6.49586e+03 2.13678e-01
6.51087e+03 2.13561e-01
6.52587e+03 2.26922e-01
6.54088e+03 2.46605e-01
6.55588e+03 2.83868e-01
6.57088e+03 3.28870e-01
6.58589e+03 3.96181e-01
6.60089e+03 4.76029e-01
6.61590e+03 5.98895e-01
6.63090e+03 7.40790e-01
6.64590e+03 9.58515e-01
6.66091e+03 1.20661e+00
6.67591e+03 1.59171e+00
6.69092e+03 2.01966e+00
6.70592e+03 2.65159e+00
6.72092e+03 3.34106e+00
6.73593e+03 4.36292e+00
6.75093e+03 5.46373e+00
6.76594e+03 7.11179e+00
6.78094e+03 8.85518e+00
6.79594e+03 1.13403e+01
6.81095e+03 1.38596e+01
6.82595e+03 1.69418e+01
6.84096e+03 2.00298e+01
6.85596e+03 2.30629e+01
6.87096e+03 2.59528e+01
6.88597e+03 2.80079e+01
6.90097e+03 2.97361e+01
6.91598e+03 3.04230e+01
6.93098e+03 3.08191e+01
6.94599e+03 3.06499e+01
6.96099e+03 3.03529e+01
6.97599e+03 2.99617e+01
6.99100e+03 2.95698e+01
7.00600e+03 2.92966e+01
7.02101e+03 2.90693e+01
7.03601e+03 2.89905e+01
7.05101e+03 2.89606e+01
7.06602e+03 2.90264e+01
7.08102e+03 2.91197e+01
7.09603e+03 2.92852e+01
7.11103e+03 3.00689e+01
7.12603e+03 3.11399e+01
7.14104e+03 3.22098e+01
7.15604e+03 3.32494e+01
7.17105e+03 3.42680e+01
7.18605e+03 3.52230e+01
7.20105e+03 3.59037e+01
7.21606e+03 3.57208e+01
7.23106e+03 3.53600e+01
7.24607e+03 3.48710e+01
7.26107e+03 3.43338e+01
7.27607e+03 3.37093e+01
7.29108e+03 3.30625e+01
7.30608e+03 3.24026e+01
7.32109e+03 3.17543e+01
7.33609e+03 3.11655e+01
7.35109e+03 3.06141e+01
7.36610e+03 3.01637e+01
7.38110e+03 2.97586e+01
7.39611e+03 2.94572e+01
7.41111e+03 2.92433e+01
7.42611e+03 2.91140e+01
7.44112e+03 2.89993e+01
7.45612e+03 2.88872e+01
7.47113e+03 2.87698e+01
7.48613e+03 2.86149e+01
7.50114e+03 2.84457e+01
7.51614e+03 2.82314e+01
7.53114e+03 2.80138e+01
7.54615e+03 2.78075e+01
7.56115e+03 2.76077e+01
7.57616e+03 2.74559e+01
7.59116e+03 2.73180e+01
7.60616e+03 2.72187e+01
7.62117e+03 2.70945e+01
7.63617e+03 2.70041e+01
7.65118e+03 2.69170e+01
7.66618e+03 2.68002e+01
7.68118e+03 2.66794e+01
7.69619e+03 2.64857e+01
7.71119e+03 2.62757e+01
7.72620e+03 2.59898e+01
7.74120e+03 2.56781e+01
7.75620e+03 2.53295e+01
7.77121e+03 2.49722e+01
7.78621e+03 2.46126e+01
7.80122e+03 2.42599e+01
7.81622e+03 2.39432e+01
7.83122e+03 2.36378e+01
7.84623e+03 2.33461e+01
7.86123e+03 2.30604e+01
7.87624e+03 2.27833e+01
7.89124e+03 2.25084e+01
7.90624e+03 2.22225e+01
7.92125e+03 2.19325e+01
7.93625e+03 2.16230e+01
7.95126e+03 2.13078e+01
7.96626e+03 2.09733e+01
7.98126e+03 2.06345e+01
7.99627e+03 2.02921e+01
8.01127e+03 1.99658e+01
8.02628e+03 1.96414e+01
8.04128e+03 1.93171e+01
8.05629e+03 1.89942e+01
8.07129e+03 1.86735e+01
8.08629e+03 1.83548e+01
8.10130e+03 1.80397e+01
8.11630e+03 1.77358e+01
8.13131e+03 1.74405e+01
8.14631e+03 1.71719e+01
8.16131e+03 1.69178e+01
8.17632e+03 1.66958e+01
8.19132e+03 1.64934e+01
8.20633e+03 1.63781e+01
8.22133e+03 1.63097e+01
8.23633e+03 1.62482e+01
8.25134e+03 1.61785e+01
8.26634e+03 1.60376e+01
8.28135e+03 1.58548e+01
8.29635e+03 1.55294e+01
