# VLT-VST.OCam.sdss.r
# photon
# from FILTER.RES.DR34.latest
4.68435e+03 0.00000e+00
4.69693e+03 0.00000e+00
4.70951e+03 3.22506e-03
4.72209e+03 4.29987e-03
4.73467e+03 4.29961e-03
4.74725e+03 4.29936e-03
4.75983e+03 4.29910e-03
4.77241e+03 4.29884e-03
4.78499e+03 4.29858e-03
4.79757e+03 4.29938e-03
4.81015e+03 4.31481e-03
4.82273e+03 4.33538e-03
4.83531e+03 4.35605e-03
4.84789e+03 4.37681e-03
4.86047e+03 4.39767e-03
4.87305e+03 4.41865e-03
4.88563e+03 4.43979e-03
4.89821e+03 4.46007e-03
4.91079e+03 4.47287e-03
4.92337e+03 4.48263e-03
4.93595e+03 4.57489e-03
4.94853e+03 4.75738e-03
4.96111e+03 4.94062e-03
4.97369e+03 5.12476e-03
4.98626e+03 5.30800e-03
4.99884e+03 5.37302e-03
5.01142e+03 5.37685e-03
5.02400e+03 5.37925e-03
5.03658e+03 5.38165e-03
5.04916e+03 5.38405e-03
5.06174e+03 5.38645e-03
5.07432e+03 5.38885e-03
5.08690e+03 5.39124e-03
5.09948e+03 5.39364e-03
5.11206e+03 5.39589e-03
5.12464e+03 5.40428e-03
5.13722e+03 6.69905e-03
5.14980e+03 9.03117e-03
5.16238e+03 1.08112e-02
5.17496e+03 1.08160e-02
5.18754e+03 1.08208e-02
5.20012e+03 1.08255e-02
5.21270e+03 1.07911e-02
5.22528e+03 1.17686e-02
5.23786e+03 1.40583e-02
5.25044e+03 1.70224e-02
5.26302e+03 2.32640e-02
5.27560e+03 3.00478e-02
5.28818e+03 3.96922e-02
5.30076e+03 5.08717e-02
5.31334e+03 6.54032e-02
5.32592e+03 8.79556e-02
5.33850e+03 1.11994e-01
5.35108e+03 1.54547e-01
5.36366e+03 2.02608e-01
5.37624e+03 2.66180e-01
5.38882e+03 3.46383e-01
5.40140e+03 4.31861e-01
5.41398e+03 5.58508e-01
5.42656e+03 6.86842e-01
5.43914e+03 8.75314e-01
5.45172e+03 1.08707e+00
5.46430e+03 1.36531e+00
5.47688e+03 1.77598e+00
5.48946e+03 2.21253e+00
5.50204e+03 2.96087e+00
5.51461e+03 3.80308e+00
5.52719e+03 4.99080e+00
5.53977e+03 6.47336e+00
5.55235e+03 8.10073e+00
5.56493e+03 1.04862e+01
5.57751e+03 1.28836e+01
5.59009e+03 1.53711e+01
5.60267e+03 1.79020e+01
5.61525e+03 2.02331e+01
5.62783e+03 2.22653e+01
5.64041e+03 2.42504e+01
5.65299e+03 2.59542e+01
5.66557e+03 2.76017e+01
5.67815e+03 2.91589e+01
5.69073e+03 3.06515e+01
5.70331e+03 3.20758e+01
5.71589e+03 3.32857e+01
5.72847e+03 3.44715e+01
5.74105e+03 3.52886e+01
5.75363e+03 3.59782e+01
5.76621e+03 3.64476e+01
5.77879e+03 3.66431e+01
5.79137e+03 3.68104e+01
5.80395e+03 3.68380e+01
5.81653e+03 3.68738e+01
5.82911e+03 3.69296e+01
5.84169e+03 3.69971e+01
5.85427e+03 3.70650e+01
5.86685e+03 3.71335e+01
