# VLT-VST.OCam.sdss.u
# photon
# from FILTER.RES.DR34.latest
3.18541e+03 0.00000e+00
3.19270e+03 0.00000e+00
3.20000e+03 7.08179e-05
3.20730e+03 1.08694e-03
3.21459e+03 6.06446e-03
3.22189e+03 1.59833e-02
3.22919e+03 3.11994e-02
3.23648e+03 5.46707e-02
3.24378e+03 1.05894e-01
3.25108e+03 1.79675e-01
3.25837e+03 2.73974e-01
3.26567e+03 3.88268e-01
3.27296e+03 4.90591e-01
3.28026e+03 5.94394e-01
3.28756e+03 7.11645e-01
3.29485e+03 8.42745e-01
3.30215e+03 9.64700e-01
3.30945e+03 1.07944e+00
3.31674e+03 1.20134e+00
3.32404e+03 1.33097e+00
3.33134e+03 1.46256e+00
3.33863e+03 1.59743e+00
3.34593e+03 1.73965e+00
3.35323e+03 1.88940e+00
3.36052e+03 2.04756e+00
3.36782e+03 2.21441e+00
3.37512e+03 2.38991e+00
3.38241e+03 2.57447e+00
3.38971e+03 2.75478e+00
3.39700e+03 2.92353e+00
3.40430e+03 3.08304e+00
3.41160e+03 3.23582e+00
3.41889e+03 3.40279e+00
3.42619e+03 3.60299e+00
3.43349e+03 3.81045e+00
3.44078e+03 4.02530e+00
3.44808e+03 4.25102e+00
3.45538e+03 4.49874e+00
3.46267e+03 4.75643e+00
3.46997e+03 5.02416e+00
3.47727e+03 5.29398e+00
3.48456e+03 5.53364e+00
3.49186e+03 5.77430e+00
3.49916e+03 6.01012e+00
3.50645e+03 6.14543e+00
3.51375e+03 6.23056e+00
3.52105e+03 6.31116e+00
3.52834e+03 6.39267e+00
3.53564e+03 6.47964e+00
3.54293e+03 6.61953e+00
3.55023e+03 6.78142e+00
3.55753e+03 6.94649e+00
3.56482e+03 7.11643e+00
3.57212e+03 7.34088e+00
3.57942e+03 7.59717e+00
3.58671e+03 7.85882e+00
3.59401e+03 8.12513e+00
3.60131e+03 8.33129e+00
3.60860e+03 8.50468e+00
3.61590e+03 8.68304e+00
3.62320e+03 8.86452e+00
3.63049e+03 9.04504e+00
3.63779e+03 9.22357e+00
3.64509e+03 9.40518e+00
3.65238e+03 9.58947e+00
3.65968e+03 9.78862e+00
3.66697e+03 1.00112e+01
3.67427e+03 1.02384e+01
3.68157e+03 1.04704e+01
3.68886e+03 1.06829e+01
3.69616e+03 1.08416e+01
3.70346e+03 1.09898e+01
3.71075e+03 1.11307e+01
3.71805e+03 1.12499e+01
3.72535e+03 1.12772e+01
3.73264e+03 1.12926e+01
3.73994e+03 1.13055e+01
3.74724e+03 1.13479e+01
3.75453e+03 1.15616e+01
3.76183e+03 1.18127e+01
3.76913e+03 1.20681e+01
3.77642e+03 1.22748e+01
3.78372e+03 1.19982e+01
3.79101e+03 1.15750e+01
3.79831e+03 1.11360e+01
3.80561e+03 1.06599e+01
3.81290e+03 9.81818e+00
3.82020e+03 8.56823e+00
3.82750e+03 6.37333e+00
3.83479e+03 5.02422e+00
3.84209e+03 4.35040e+00
3.84939e+03 3.82536e+00
3.85668e+03 3.28499e+00
3.86398e+03 2.72900e+00
3.87128e+03 2.29148e+00
3.87857e+03 1.99700e+00
3.88587e+03 1.69415e+00
3.89317e+03 1.38162e+00
3.90046e+03 1.12984e+00
3.90776e+03 9.94061e-01
3.91505e+03 8.54674e-01
3.92235e+03 7.11034e-01
3.92965e+03 5.86420e-01
3.93694e+03 5.15716e-01
3.94424e+03 4.45023e-01
3.95154e+03 3.72296e-01
3.95883e+03 3.07059e-01
3.96613e+03 2.71192e-01
3.97343e+03 2.37726e-01
3.98072e+03 2.03423e-01
3.98802e+03 1.70916e-01
3.99532e+03 1.52061e-01
4.00261e+03 1.34717e-01
4.00991e+03 1.16588e-01
4.01721e+03 9.91312e-02
4.02450e+03 8.80344e-02
4.03180e+03 7.85429e-02
4.03910e+03 6.89494e-02
4.04639e+03 5.95461e-02
4.05369e+03 5.38006e-02
4.06098e+03 4.93900e-02
4.06828e+03 4.49338e-02
4.07558e+03 4.04649e-02
4.08287e+03 3.69694e-02
4.09017e+03 3.39688e-02
4.09747e+03 3.09357e-02
4.10476e+03 2.78556e-02
4.11206e+03 2.51859e-02
4.11936e+03 2.28464e-02
4.12665e+03 2.04876e-02
4.13395e+03 1.81077e-02
4.14125e+03 1.61168e-02
4.14854e+03 1.45589e-02
4.15584e+03 1.29888e-02
4.16314e+03 1.14057e-02
4.17043e+03 1.00713e-02
4.17773e+03 9.24319e-03
4.18502e+03 8.43784e-03
4.19232e+03 7.62609e-03
4.19962e+03 6.80871e-03
4.20691e+03 5.99126e-03
4.21421e+03 5.16635e-03
4.22151e+03 4.33270e-03
4.22880e+03 3.49079e-03
4.23610e+03 2.63903e-03
4.24340e+03 1.77854e-03
4.25069e+03 9.07265e-04
4.25799e+03 1.27436e-04
4.26529e+03 0.00000e+00
4.27258e+03 0.00000e+00
4.27988e+03 0.00000e+00
4.28718e+03 0.00000e+00
4.29447e+03 0.00000e+00
4.30177e+03 0.00000e+00
4.30906e+03 0.00000e+00
4.31636e+03 0.00000e+00
4.32366e+03 0.00000e+00
4.33095e+03 0.00000e+00
4.33825e+03 0.00000e+00
4.34555e+03 0.00000e+00
4.35284e+03 0.00000e+00
4.36014e+03 0.00000e+00
4.36744e+03 0.00000e+00
4.37473e+03 0.00000e+00
4.38203e+03 0.00000e+00
4.38933e+03 0.00000e+00
4.39662e+03 0.00000e+00
4.40392e+03 0.00000e+00
4.41122e+03 0.00000e+00
4.41851e+03 0.00000e+00
4.42581e+03 0.00000e+00
