# VLT-VST.OCam.sdss.z
# photon
# from FILTER.RES.DR34.latest
7.76729e+03 0.00000e+00
7.78498e+03 0.00000e+00
7.80266e+03 0.00000e+00
7.82034e+03 0.00000e+00
7.83803e+03 0.00000e+00
7.85571e+03 0.00000e+00
7.87340e+03 0.00000e+00
7.89108e+03 0.00000e+00
7.90877e+03 -7.06442e-06
7.92645e+03 6.20135e-04
7.94414e+03 3.05847e-03
7.96182e+03 4.31110e-03
7.97951e+03 4.38952e-03
7.99719e+03 6.24139e-03
8.01488e+03 8.67039e-03
8.03256e+03 1.10078e-02
8.05025e+03 1.52938e-02
8.06793e+03 2.25987e-02
8.08562e+03 3.27731e-02
8.10330e+03 4.51875e-02
8.12099e+03 6.27370e-02
8.13867e+03 8.33392e-02
8.15636e+03 1.08276e-01
8.17404e+03 1.39465e-01
8.19173e+03 1.77021e-01
8.20941e+03 2.38220e-01
8.22710e+03 3.10449e-01
8.24478e+03 3.96310e-01
8.26247e+03 5.14269e-01
8.28015e+03 6.74334e-01
8.29784e+03 9.72470e-01
8.31552e+03 1.34657e+00
8.33321e+03 1.83644e+00
8.35089e+03 2.50235e+00
8.36858e+03 3.39751e+00
8.38626e+03 4.80976e+00
8.40395e+03 6.40543e+00
8.42163e+03 7.72515e+00
8.43932e+03 9.08849e+00
8.45700e+03 1.06182e+01
8.47469e+03 1.16258e+01
8.49237e+03 1.22564e+01
8.51006e+03 1.33204e+01
8.52774e+03 1.49846e+01
8.54543e+03 1.67600e+01
8.56311e+03 1.82941e+01
8.58080e+03 1.95559e+01
8.59848e+03 2.08898e+01
8.61617e+03 2.21984e+01
8.63385e+03 2.33384e+01
8.65153e+03 2.42080e+01
8.66922e+03 2.40318e+01
8.68690e+03 2.35714e+01
8.70459e+03 2.30421e+01
8.72227e+03 2.25024e+01
8.73996e+03 2.18867e+01
8.75764e+03 2.11252e+01
8.77533e+03 2.04876e+01
8.79301e+03 1.99158e+01
8.81070e+03 1.92797e+01
8.82838e+03 1.86358e+01
8.84607e+03 1.79980e+01
8.86375e+03 1.73965e+01
8.88144e+03 1.68196e+01
8.89912e+03 1.61577e+01
8.91681e+03 1.55120e+01
8.93449e+03 1.49883e+01
8.95218e+03 1.43874e+01
8.96986e+03 1.36875e+01
8.98755e+03 1.31581e+01
9.00523e+03 1.26728e+01
9.02292e+03 1.20287e+01
9.04060e+03 1.14648e+01
9.05829e+03 1.10548e+01
9.07597e+03 1.05391e+01
9.09366e+03 9.98454e+00
9.11134e+03 9.56611e+00
9.12903e+03 9.15556e+00
9.14671e+03 8.69306e+00
9.16440e+03 8.27597e+00
9.18208e+03 7.90187e+00
9.19977e+03 7.54923e+00
9.21745e+03 7.23009e+00
9.23514e+03 6.98348e+00
9.25282e+03 6.73239e+00
9.27051e+03 6.47152e+00
9.28819e+03 6.23204e+00
9.30588e+03 5.99837e+00
9.32356e+03 5.74725e+00
9.34125e+03 5.50362e+00
9.35893e+03 5.27260e+00
9.37662e+03 5.03400e+00
9.39430e+03 4.79335e+00
9.41199e+03 4.55477e+00
9.42967e+03 4.31705e+00
9.44735e+03 4.07534e+00
9.46504e+03 3.82524e+00
9.48272e+03 3.57019e+00
9.50041e+03 3.31118e+00
9.51809e+03 3.06767e+00
9.53578e+03 2.81649e+00
9.55346e+03 2.54705e+00
9.57115e+03 2.25874e+00
9.58883e+03 1.99246e+00
9.60652e+03 1.73089e+00
9.62420e+03 1.43375e+00
9.64189e+03 1.17616e+00
9.65957e+03 9.79874e-01
9.67726e+03 7.77348e-01
9.69494e+03 5.87975e-01
9.71263e+03 4.71366e-01
9.73031e+03 3.73311e-01
9.74800e+03 2.82146e-01
9.76568e+03 2.14591e-01
9.78337e+03 1.65921e-01
9.80105e+03 1.28560e-01
9.81874e+03 9.72610e-02
9.83642e+03 7.21711e-02
9.85411e+03 5.48726e-02
9.87179e+03 4.43801e-02
9.88948e+03 3.31756e-02
9.90716e+03 2.34788e-02
9.92485e+03 1.91327e-02
9.94253e+03 1.52318e-02
9.96022e+03 1.10838e-02
9.97790e+03 8.35369e-03
9.99559e+03 5.01515e-03
1.00133e+04 0.00000e+00
1.00310e+04 0.00000e+00
1.00486e+04 0.00000e+00
