# VLT-hawki_j_ETC
# photon
# from FILTER.RES.DR34.latest
1.14497e+04 0.00000e+00
1.14748e+04 0.00000e+00
1.15000e+04 0.00000e+00
1.15252e+04 1.84019e-01
1.15503e+04 2.82548e-01
1.15755e+04 5.34581e-01
1.16006e+04 8.83982e-01
1.16258e+04 1.75957e+00
1.16509e+04 2.89293e+00
1.16761e+04 5.00237e+00
1.17012e+04 7.38557e+00
1.17264e+04 1.02713e+01
1.17516e+04 1.34657e+01
1.17767e+04 1.80616e+01
1.18019e+04 2.33552e+01
1.18270e+04 2.99624e+01
1.18522e+04 3.69015e+01
1.18773e+04 4.15871e+01
1.19025e+04 4.60386e+01
1.19276e+04 4.71492e+01
1.19528e+04 4.77929e+01
1.19779e+04 4.78008e+01
1.20031e+04 4.79455e+01
1.20283e+04 4.74795e+01
1.20534e+04 4.79214e+01
1.20786e+04 4.78659e+01
1.21037e+04 4.77522e+01
1.21289e+04 4.79873e+01
1.21540e+04 4.80370e+01
1.21792e+04 4.81422e+01
1.22043e+04 4.83343e+01
1.22295e+04 4.84083e+01
1.22547e+04 4.86921e+01
1.22798e+04 4.87468e+01
1.23050e+04 4.88522e+01
1.23301e+04 4.89157e+01
1.23553e+04 4.90178e+01
1.23804e+04 4.91466e+01
1.24056e+04 4.92734e+01
1.24307e+04 4.94042e+01
1.24559e+04 4.95221e+01
1.24811e+04 4.96273e+01
1.25062e+04 4.96772e+01
1.25314e+04 4.96529e+01
1.25565e+04 4.97786e+01
1.25817e+04 4.94566e+01
1.26068e+04 4.90138e+01
1.26320e+04 4.72856e+01
1.26571e+04 4.72962e+01
1.26823e+04 4.43086e+01
1.27075e+04 4.84576e+01
1.27326e+04 4.87593e+01
1.27578e+04 4.94618e+01
1.27829e+04 4.99287e+01
1.28081e+04 5.03820e+01
1.28332e+04 5.05005e+01
1.28584e+04 5.06365e+01
1.28835e+04 5.05867e+01
1.29087e+04 5.05575e+01
1.29338e+04 5.05836e+01
1.29590e+04 5.05533e+01
1.29842e+04 5.06033e+01
1.30093e+04 5.06724e+01
1.30345e+04 5.04914e+01
1.30596e+04 5.08955e+01
1.30848e+04 5.09035e+01
1.31099e+04 5.11674e+01
1.31351e+04 5.05269e+01
1.31602e+04 5.08212e+01
1.31854e+04 5.08566e+01
1.32106e+04 4.99430e+01
1.32357e+04 4.95417e+01
1.32609e+04 4.80496e+01
1.32860e+04 4.35273e+01
1.33112e+04 3.74179e+01
1.33363e+04 2.94104e+01
1.33615e+04 2.20661e+01
1.33866e+04 1.48388e+01
1.34118e+04 9.30850e+00
1.34370e+04 5.69922e+00
1.34621e+04 3.53456e+00
1.34873e+04 1.90028e+00
1.35124e+04 1.14214e+00
1.35376e+04 5.79627e-01
1.35627e+04 4.07132e-01
1.35879e+04 2.24898e-01
1.36130e+04 0.00000e+00
1.36382e+04 0.00000e+00
1.36634e+04 0.00000e+00
