# VLT-hawki_k_ETC 
# photon 
# from FILTER.RES.DR34.latest
1.891409999999999854e+04 0.000000000000000000e+00
1.895709999999999854e+04 0.000000000000000000e+00
1.900000000000000000e+04 0.000000000000000000e+00
1.904290000000000146e+04 1.330244000000000066e-04
1.908590000000000146e+04 4.223620000000000195e-04
1.912879999999999927e+04 4.450699999999999925e-04
1.917170000000000073e+04 1.550254000000000042e-03
1.921470000000000073e+04 1.769615999999999897e-03
1.925759999999999854e+04 2.721939999999999950e-03
1.930059999999999854e+04 3.745399999999999858e-03
1.934350000000000000e+04 6.414039999999999325e-03
1.938640000000000146e+04 6.767819999999999912e-03
1.942940000000000146e+04 9.897299999999999501e-03
1.947229999999999927e+04 1.441937999999999900e-02
1.951520000000000073e+04 1.865788000000000169e-02
1.955820000000000073e+04 2.242539999999999811e-02
1.960109999999999854e+04 4.105899999999999828e-02
1.964400000000000000e+04 6.679640000000000577e-02
1.968700000000000000e+04 1.217923999999999951e-01
1.972990000000000146e+04 2.110339999999999994e-01
1.977290000000000146e+04 3.469860000000000166e-01
1.981579999999999927e+04 4.545640000000000236e-01
1.985870000000000073e+04 5.632159999999999389e-01
1.990170000000000073e+04 6.364220000000000432e-01
1.994459999999999854e+04 6.824580000000000091e-01
1.998750000000000000e+04 5.535360000000000280e-01
2.003050000000000000e+04 3.591960000000000153e-01
2.007340000000000146e+04 4.833459999999999979e-01
2.011629999999999927e+04 4.681880000000000486e-01
2.015929999999999927e+04 5.387060000000000182e-01
2.020220000000000073e+04 6.471620000000000150e-01
2.024520000000000073e+04 7.995120000000000005e-01
2.028809999999999854e+04 8.652520000000000211e-01
2.033100000000000000e+04 8.782299999999999551e-01
2.037400000000000000e+04 8.783199999999999896e-01
2.041690000000000146e+04 8.684460000000000512e-01
2.045979999999999927e+04 8.693619999999999681e-01
2.050279999999999927e+04 7.656459999999999377e-01
2.054570000000000073e+04 6.865300000000000846e-01
2.058859999999999854e+04 7.647239999999999593e-01
2.063159999999999854e+04 7.503140000000000365e-01
2.067450000000000000e+04 7.620820000000000372e-01
2.071740000000000146e+04 8.326660000000000172e-01
2.076040000000000146e+04 8.802719999999999434e-01
2.080329999999999927e+04 9.186620000000000896e-01
2.084629999999999927e+04 9.125199999999999978e-01
2.088920000000000073e+04 9.231399999999999606e-01
2.093209999999999854e+04 9.337300000000000599e-01
2.097509999999999854e+04 9.416379999999999750e-01
2.101800000000000000e+04 9.463019999999999765e-01
2.106090000000000146e+04 9.539980000000000127e-01
2.110390000000000146e+04 9.543760000000000021e-01
2.114679999999999927e+04 9.611060000000000159e-01
2.118970000000000073e+04 9.592879999999999185e-01
2.123270000000000073e+04 9.623340000000000227e-01
2.127559999999999854e+04 9.608920000000000794e-01
2.131859999999999854e+04 9.619739999999999958e-01
2.136150000000000000e+04 9.591979999999999951e-01
2.140440000000000146e+04 9.573760000000000048e-01
2.144740000000000146e+04 9.551760000000000250e-01
2.149029999999999927e+04 9.521699999999999608e-01
2.153320000000000073e+04 9.483260000000000023e-01
2.157620000000000073e+04 9.542220000000000146e-01
2.161909999999999854e+04 9.499939999999998941e-01
2.166200000000000000e+04 9.577999999999999847e-01
2.170500000000000000e+04 9.602939999999999809e-01
2.174790000000000146e+04 9.639319999999999000e-01
2.179090000000000146e+04 9.665260000000001073e-01
2.183379999999999927e+04 9.639660000000001006e-01
2.187670000000000073e+04 9.731520000000000170e-01
2.191970000000000073e+04 9.771559999999999135e-01
2.196259999999999854e+04 9.721259999999999346e-01
2.200550000000000000e+04 9.472839999999999039e-01
2.204850000000000000e+04 9.713720000000001242e-01
2.209140000000000146e+04 9.823159999999999670e-01
2.213429999999999927e+04 9.850459999999999772e-01
2.217729999999999927e+04 9.794399999999999773e-01
2.222020000000000073e+04 9.794459999999999278e-01
2.226320000000000073e+04 9.793760000000000243e-01
2.230609999999999854e+04 9.787839999999999874e-01
2.234900000000000000e+04 9.807399999999999451e-01
2.239200000000000000e+04 9.809220000000000717e-01
2.243490000000000146e+04 9.808860000000000356e-01
2.247779999999999927e+04 9.758920000000000927e-01
2.252079999999999927e+04 9.754760000000000097e-01
2.256370000000000073e+04 9.692419999999999369e-01
2.260659999999999854e+04 9.627939999999999277e-01
2.264959999999999854e+04 9.751819999999998823e-01
2.269250000000000000e+04 9.593840000000000146e-01
2.273550000000000000e+04 9.535660000000000247e-01
2.277840000000000146e+04 9.512920000000000265e-01
2.282129999999999927e+04 9.111939999999999484e-01
2.286429999999999927e+04 9.088660000000000627e-01
2.290720000000000073e+04 8.361459999999999448e-01
2.295009999999999854e+04 7.647620000000000529e-01
2.299309999999999854e+04 6.580059999999999798e-01
2.303600000000000000e+04 5.548879999999999368e-01
2.307890000000000146e+04 4.524199999999999888e-01
2.312190000000000146e+04 3.627839999999999954e-01
2.316479999999999927e+04 2.505000000000000004e-01
2.320779999999999927e+04 1.977606000000000086e-01
2.325070000000000073e+04 1.517660000000000120e-01
2.329359999999999854e+04 1.135521999999999920e-01
2.333659999999999854e+04 8.478420000000000400e-02
2.337950000000000000e+04 6.337240000000000928e-02
2.342240000000000146e+04 4.795639999999999625e-02
2.346540000000000146e+04 3.651780000000000304e-02
2.350829999999999927e+04 2.827539999999999915e-02
2.355120000000000073e+04 2.259099999999999997e-02
2.359420000000000073e+04 1.837721999999999967e-02
2.363709999999999854e+04 1.501533999999999855e-02
2.368009999999999854e+04 1.186757999999999910e-02
2.372300000000000000e+04 8.679219999999999643e-03
2.376590000000000146e+04 7.834739999999999760e-03
2.380890000000000146e+04 6.693280000000000236e-03
2.385179999999999927e+04 5.259939999999999408e-03
2.389470000000000073e+04 4.402679999999999962e-03
2.393770000000000073e+04 3.871600000000000215e-03
2.398059999999999854e+04 3.148339999999999906e-03
2.402350000000000000e+04 2.598360000000000079e-03
2.406650000000000000e+04 2.186539999999999838e-03
2.410940000000000146e+04 1.837637999999999945e-03
2.415229999999999927e+04 1.454305999999999828e-03
2.419529999999999927e+04 1.244754000000000043e-03
2.423820000000000073e+04 1.090720000000000101e-03
2.428120000000000073e+04 9.078380000000000043e-04
2.432409999999999854e+04 7.630459999999999717e-04
2.436700000000000000e+04 5.480940000000000551e-04
2.441000000000000000e+04 5.498280000000000355e-04
2.445290000000000146e+04 3.852040000000000477e-04
2.449579999999999927e+04 0.000000000000000000e+00
2.453879999999999927e+04 0.000000000000000000e+00
2.458170000000000073e+04 0.000000000000000000e+00
