# VLT-hawki_y_ETC
# photon
# from FILTER.RES.DR34.latest
9.15918e+03 0.00000e+00
9.17959e+03 0.00000e+00
9.20000e+03 0.00000e+00
9.22041e+03 1.71759e-05
9.24082e+03 6.72105e-04
9.26124e+03 3.99979e-03
9.28165e+03 6.47875e-03
9.30206e+03 6.29538e-03
9.32247e+03 4.74581e-03
9.34288e+03 4.23172e-03
9.36330e+03 6.51976e-03
9.38371e+03 1.29182e-02
9.40412e+03 2.92647e-02
9.42453e+03 5.92114e-02
9.44494e+03 1.20836e-01
9.46535e+03 2.26430e-01
9.48577e+03 3.79040e-01
9.50618e+03 5.13080e-01
9.52659e+03 6.51140e-01
9.54700e+03 7.78742e-01
9.56741e+03 9.72258e-01
9.58783e+03 1.34653e+00
9.60824e+03 2.25209e+00
9.62865e+03 4.18172e+00
9.64906e+03 8.04533e+00
9.66947e+03 1.47162e+01
9.68989e+03 2.35889e+01
9.71030e+03 3.20594e+01
9.73071e+03 3.84183e+01
9.75112e+03 4.19239e+01
9.77153e+03 4.44151e+01
9.79195e+03 4.51100e+01
9.81236e+03 4.58085e+01
9.83277e+03 4.60432e+01
9.85318e+03 4.61148e+01
9.87359e+03 4.60601e+01
9.89401e+03 4.60224e+01
9.91442e+03 4.61587e+01
9.93483e+03 4.64651e+01
9.95524e+03 4.68754e+01
9.97565e+03 4.72043e+01
9.99606e+03 4.73830e+01
1.00165e+04 4.73609e+01
1.00369e+04 4.73038e+01
1.00573e+04 4.72504e+01
1.00777e+04 4.72277e+01
1.00981e+04 4.72108e+01
1.01185e+04 4.72498e+01
1.01389e+04 4.73420e+01
1.01594e+04 4.75365e+01
1.01798e+04 4.78249e+01
1.02002e+04 4.81161e+01
1.02206e+04 4.83305e+01
1.02410e+04 4.84119e+01
1.02614e+04 4.84361e+01
1.02818e+04 4.84848e+01
1.03022e+04 4.86617e+01
1.03227e+04 4.89239e+01
1.03431e+04 4.91567e+01
1.03635e+04 4.92271e+01
1.03839e+04 4.91116e+01
1.04043e+04 4.89042e+01
1.04247e+04 4.87661e+01
1.04451e+04 4.88115e+01
1.04655e+04 4.90336e+01
1.04860e+04 4.93010e+01
1.05064e+04 4.94537e+01
1.05268e+04 4.93544e+01
1.05472e+04 4.89838e+01
1.05676e+04 4.83125e+01
1.05880e+04 4.72307e+01
1.06084e+04 4.54967e+01
1.06288e+04 4.28076e+01
1.06492e+04 3.89671e+01
1.06697e+04 3.40396e+01
1.06901e+04 2.83797e+01
1.07105e+04 2.25944e+01
1.07309e+04 1.73096e+01
1.07513e+04 1.29640e+01
1.07717e+04 9.67634e+00
1.07921e+04 7.31021e+00
1.08125e+04 5.61494e+00
1.08330e+04 4.40385e+00
1.08534e+04 3.49356e+00
1.08738e+04 2.79562e+00
1.08942e+04 2.20695e+00
1.09146e+04 1.72503e+00
1.09350e+04 1.31678e+00
1.09554e+04 9.98855e-01
1.09758e+04 7.60204e-01
1.09962e+04 5.80953e-01
1.10167e+04 4.58408e-01
1.10371e+04 3.76216e-01
1.10575e+04 3.21506e-01
1.10779e+04 2.86465e-01
1.10983e+04 2.62304e-01
1.11187e+04 2.40986e-01
1.11391e+04 2.16500e-01
1.11595e+04 1.75049e-01
1.11800e+04 1.57137e-01
1.12004e+04 0.00000e+00
1.12208e+04 0.00000e+00
1.12412e+04 0.00000e+00
