# WIRCam-cfh8101_J
# photon
# from FILTER.RES.DR34.latest
1.14300e+04 0.00000e+00
1.14700e+04 0.00000e+00
1.15100e+04 5.87242e-03
1.15500e+04 1.10380e-02
1.15900e+04 2.48437e-02
1.16300e+04 5.27621e-02
1.16700e+04 1.12697e-01
1.17100e+04 2.60837e-01
1.17500e+04 5.07214e-01
1.17900e+04 7.28686e-01
1.18300e+04 8.08165e-01
1.18700e+04 8.79322e-01
1.19100e+04 8.77196e-01
1.19500e+04 9.10564e-01
1.19900e+04 9.13336e-01
1.20300e+04 9.28690e-01
1.20700e+04 9.23426e-01
1.21100e+04 9.25614e-01
1.21500e+04 9.25944e-01
1.21900e+04 9.45987e-01
1.22300e+04 9.52904e-01
1.22700e+04 9.68316e-01
1.23100e+04 9.85416e-01
1.23500e+04 9.93482e-01
1.23900e+04 9.99429e-01
1.24300e+04 1.00000e+00
1.24700e+04 9.96952e-01
1.25100e+04 9.94797e-01
1.25500e+04 9.87207e-01
1.25900e+04 9.71718e-01
1.26300e+04 9.30237e-01
1.26700e+04 9.23654e-01
1.27100e+04 8.70630e-01
1.27500e+04 9.36887e-01
1.27900e+04 9.64505e-01
1.28300e+04 9.85059e-01
1.28700e+04 9.87489e-01
1.29100e+04 9.82908e-01
1.29500e+04 9.76374e-01
1.29900e+04 9.63924e-01
1.30300e+04 9.49150e-01
1.30700e+04 9.29293e-01
1.31100e+04 9.16005e-01
1.31500e+04 9.11037e-01
1.31900e+04 9.09086e-01
1.32300e+04 8.42026e-01
1.32700e+04 7.45375e-01
1.33100e+04 5.47874e-01
1.33500e+04 3.24963e-01
1.33900e+04 1.91709e-01
1.34300e+04 8.14612e-02
1.34700e+04 3.73791e-02
1.35100e+04 0.00000e+00
1.35500e+04 0.00000e+00
