# WIRCam-cfh8201_H
# photon
# from FILTER.RES.DR34.latest
1.44100e+04 0.00000e+00
1.44600e+04 0.00000e+00
1.45100e+04 1.82861e-03
1.45600e+04 3.18317e-03
1.46100e+04 5.93560e-03
1.46600e+04 1.31665e-02
1.47100e+04 3.24387e-02
1.47600e+04 1.02300e-01
1.48100e+04 2.15290e-01
1.48600e+04 4.06830e-01
1.49100e+04 6.10122e-01
1.49600e+04 8.10061e-01
1.50100e+04 8.98018e-01
1.50600e+04 9.10184e-01
1.51100e+04 9.41362e-01
1.51600e+04 9.61932e-01
1.52100e+04 9.61677e-01
1.52600e+04 9.77237e-01
1.53100e+04 9.76907e-01
1.53600e+04 9.73248e-01
1.54100e+04 9.81413e-01
1.54600e+04 9.83912e-01
1.55100e+04 9.86417e-01
1.55600e+04 9.86713e-01
1.56100e+04 9.85479e-01
1.56600e+04 9.85626e-01
1.57100e+04 9.52420e-01
1.57600e+04 9.44883e-01
1.58100e+04 9.52921e-01
1.58600e+04 9.80824e-01
1.59100e+04 9.98983e-01
1.59600e+04 1.00000e+00
1.60100e+04 9.54956e-01
1.60600e+04 9.24110e-01
1.61100e+04 9.35381e-01
1.61600e+04 9.66991e-01
1.62100e+04 9.78790e-01
1.62600e+04 9.85619e-01
1.63100e+04 9.81280e-01
1.63600e+04 9.78690e-01
1.64100e+04 9.65479e-01
1.64600e+04 9.69742e-01
1.65100e+04 9.61507e-01
1.65600e+04 9.74800e-01
1.66100e+04 9.80663e-01
1.66600e+04 9.56198e-01
1.67100e+04 9.69871e-01
1.67600e+04 9.82077e-01
1.68100e+04 9.73232e-01
1.68600e+04 9.87826e-01
1.69100e+04 9.86341e-01
1.69600e+04 9.87829e-01
1.70100e+04 9.85514e-01
1.70600e+04 9.75030e-01
1.71100e+04 9.69269e-01
1.71600e+04 9.69703e-01
1.72100e+04 9.67584e-01
1.72600e+04 9.45273e-01
1.73100e+04 9.45024e-01
1.73600e+04 9.33910e-01
1.74100e+04 9.46508e-01
1.74600e+04 9.18262e-01
1.75100e+04 9.12607e-01
1.75600e+04 9.25589e-01
1.76100e+04 9.48839e-01
1.76600e+04 8.50262e-01
1.77100e+04 7.27682e-01
1.77600e+04 4.65154e-01
1.78100e+04 2.42777e-01
1.78600e+04 1.10931e-01
1.79100e+04 5.37077e-02
1.79600e+04 2.32733e-02
1.80100e+04 1.08761e-02
1.80600e+04 6.70554e-03
1.81100e+04 0.00000e+00
1.81600e+04 0.00000e+00
