# WIRCam-cfh8302_Ks
# photon
# from FILTER.RES.DR34.latest
1.94650e+04 0.00000e+00
1.95350e+04 0.00000e+00
1.96050e+04 1.09268e-02
1.96750e+04 2.78784e-02
1.97450e+04 1.01205e-01
1.98150e+04 2.70329e-01
1.98850e+04 5.35269e-01
1.99550e+04 7.19707e-01
2.00250e+04 3.02841e-01
2.00950e+04 3.02575e-01
2.01650e+04 3.51437e-01
2.02350e+04 5.81329e-01
2.03050e+04 8.44242e-01
2.03750e+04 9.10565e-01
2.04450e+04 8.82505e-01
2.05150e+04 7.04222e-01
2.05850e+04 6.42179e-01
2.06550e+04 6.73179e-01
2.07250e+04 7.41488e-01
2.07950e+04 8.77089e-01
2.08650e+04 9.10734e-01
2.09350e+04 9.46724e-01
2.10050e+04 9.77045e-01
2.10750e+04 9.81669e-01
2.11450e+04 9.75662e-01
2.12150e+04 9.78822e-01
2.12850e+04 9.82289e-01
2.13550e+04 1.00000e+00
2.14250e+04 9.99707e-01
2.14950e+04 9.88977e-01
2.15650e+04 9.79823e-01
2.16350e+04 9.72586e-01
2.17050e+04 9.83110e-01
2.17750e+04 9.74463e-01
2.18450e+04 9.64276e-01
2.19150e+04 9.58949e-01
2.19850e+04 9.21635e-01
2.20550e+04 9.07564e-01
2.21250e+04 9.69427e-01
2.21950e+04 9.63127e-01
2.22650e+04 9.65778e-01
2.23350e+04 9.50104e-01
2.24050e+04 9.40418e-01
2.24750e+04 9.31230e-01
2.25450e+04 9.20340e-01
2.26150e+04 9.12092e-01
2.26850e+04 9.19800e-01
2.27550e+04 9.03830e-01
2.28250e+04 9.06699e-01
2.28950e+04 8.58915e-01
2.29650e+04 7.97748e-01
2.30350e+04 7.25759e-01
2.31050e+04 5.80727e-01
2.31750e+04 3.05787e-01
2.32450e+04 1.32434e-01
2.33150e+04 6.51929e-02
2.33850e+04 0.00000e+00
2.34550e+04 0.00000e+00
