# WISE-RSR-W1
# photon
# from FILTER.RES.DR34.latest
2.64800e+04 0.00000e+00
2.65900e+04 0.00000e+00
2.67000e+04 1.11685e-03
2.68100e+04 5.70537e-04
2.69200e+04 7.56263e-04
2.70300e+04 4.38703e-03
2.71400e+04 1.05841e-02
2.72500e+04 7.89432e-03
2.73600e+04 5.04196e-03
2.74700e+04 7.96289e-03
2.75800e+04 1.60082e-02
2.76900e+04 2.97752e-02
2.78000e+04 6.04542e-02
2.79100e+04 1.21931e-01
2.80200e+04 2.12571e-01
2.81300e+04 3.04312e-01
2.82400e+04 3.61286e-01
2.83500e+04 3.75748e-01
2.84600e+04 3.65295e-01
2.85700e+04 3.48627e-01
2.86800e+04 3.29402e-01
2.87900e+04 3.11770e-01
2.89000e+04 3.08635e-01
2.90100e+04 3.23881e-01
2.91200e+04 3.52470e-01
2.92300e+04 3.83778e-01
2.93400e+04 4.10504e-01
2.94500e+04 4.32442e-01
2.95600e+04 4.51292e-01
2.96700e+04 4.70508e-01
2.97800e+04 4.89355e-01
2.98900e+04 5.02603e-01
3.00000e+04 5.07892e-01
3.01100e+04 5.11650e-01
3.02200e+04 5.13952e-01
3.03300e+04 5.09146e-01
3.04400e+04 4.97164e-01
3.05500e+04 4.81124e-01
3.06600e+04 4.61623e-01
3.07700e+04 4.39321e-01
3.08800e+04 4.18601e-01
3.09900e+04 4.06966e-01
3.11000e+04 4.15211e-01
3.12100e+04 4.47866e-01
3.13200e+04 4.95630e-01
3.14300e+04 5.38803e-01
3.15400e+04 5.69964e-01
3.16500e+04 5.91013e-01
3.17600e+04 6.07181e-01
3.18700e+04 6.21363e-01
3.19800e+04 6.33131e-01
3.20900e+04 6.40559e-01
3.22000e+04 6.46509e-01
3.23100e+04 6.50361e-01
3.24200e+04 6.50933e-01
3.25300e+04 6.44740e-01
3.26400e+04 6.38191e-01
3.27500e+04 6.36598e-01
3.28600e+04 6.48147e-01
3.29700e+04 6.79828e-01
3.30800e+04 7.27574e-01
3.31900e+04 7.80331e-01
3.33000e+04 8.27146e-01
3.34100e+04 8.58948e-01
3.35200e+04 8.72999e-01
3.36300e+04 8.66640e-01
3.37400e+04 8.47336e-01
3.38500e+04 8.24408e-01
3.39600e+04 7.98839e-01
3.40700e+04 7.80411e-01
3.41800e+04 7.88995e-01
3.42900e+04 8.31735e-01
3.44000e+04 8.94193e-01
3.45100e+04 9.51151e-01
3.46200e+04 9.85958e-01
3.47300e+04 9.99985e-01
3.48400e+04 1.00000e+00
3.49500e+04 9.95629e-01
3.50600e+04 9.91937e-01
3.51700e+04 9.88229e-01
3.52800e+04 9.84172e-01
3.53900e+04 9.74150e-01
3.55000e+04 9.57080e-01
3.56100e+04 9.34721e-01
3.57200e+04 9.09878e-01
3.58300e+04 8.87443e-01
3.59400e+04 8.75136e-01
3.60500e+04 8.77450e-01
3.61600e+04 8.94151e-01
3.62700e+04 9.14402e-01
3.63800e+04 9.27035e-01
3.64900e+04 9.30868e-01
3.66000e+04 9.29237e-01
3.67100e+04 9.26513e-01
3.68200e+04 9.22860e-01
3.69300e+04 9.19140e-01
3.70400e+04 9.16391e-01
3.71500e+04 9.14538e-01
3.72600e+04 9.07744e-01
3.73700e+04 8.83661e-01
3.74800e+04 8.31517e-01
3.75900e+04 7.46236e-01
3.77000e+04 6.29214e-01
3.78100e+04 4.91976e-01
3.79200e+04 3.52272e-01
3.80300e+04 2.32666e-01
3.81400e+04 1.44229e-01
3.82500e+04 8.50651e-02
3.83600e+04 4.96636e-02
3.84700e+04 2.95432e-02
3.85800e+04 1.78911e-02
3.86900e+04 1.07172e-02
3.88000e+04 6.35969e-03
3.89100e+04 4.31762e-03
3.90200e+04 3.61588e-03
3.91300e+04 0.00000e+00
3.92400e+04 0.00000e+00
