# hst-ACS_update_sep07-wfc_f775w_t77
# photon
# from FILTER.RES.DR34.latest
6.53500e+03 0.00000e+00
6.56000e+03 0.00000e+00
6.58500e+03 2.97571e-03
6.61000e+03 3.58800e-03
6.63500e+03 4.40348e-03
6.66000e+03 5.21963e-03
6.68500e+03 6.03713e-03
6.71000e+03 6.85604e-03
6.73500e+03 7.67569e-03
6.76000e+03 8.49104e-03
6.78500e+03 9.30471e-03
6.81000e+03 1.32738e-02
6.83500e+03 2.67680e-02
6.86000e+03 5.09796e-02
6.88500e+03 9.41183e-02
6.91000e+03 1.55685e-01
6.93500e+03 2.35556e-01
6.96000e+03 3.37003e-01
6.98500e+03 4.42379e-01
7.01000e+03 5.55229e-01
7.03500e+03 6.51202e-01
7.06000e+03 7.30000e-01
7.08500e+03 7.98924e-01
7.11000e+03 8.54200e-01
7.13500e+03 8.91989e-01
7.16000e+03 9.28890e-01
7.18500e+03 9.46794e-01
7.21000e+03 9.73955e-01
7.23500e+03 9.87318e-01
7.26000e+03 9.90424e-01
7.28500e+03 9.86470e-01
7.31000e+03 9.95829e-01
7.33500e+03 9.95108e-01
7.36000e+03 9.98356e-01
7.38500e+03 1.00000e+00
7.41000e+03 9.94997e-01
7.43500e+03 9.79789e-01
7.46000e+03 9.69197e-01
7.48500e+03 9.67194e-01
7.51000e+03 9.69468e-01
7.53500e+03 9.79540e-01
7.56000e+03 9.75410e-01
7.58500e+03 9.67934e-01
7.61000e+03 9.58393e-01
7.63500e+03 9.55507e-01
7.66000e+03 9.48237e-01
7.68500e+03 9.35016e-01
7.71000e+03 9.10660e-01
7.73500e+03 8.89343e-01
7.76000e+03 8.80573e-01
7.78500e+03 8.83067e-01
7.81000e+03 8.91516e-01
7.83500e+03 8.94712e-01
7.86000e+03 8.84003e-01
7.88500e+03 8.68088e-01
7.91000e+03 8.53315e-01
7.93500e+03 8.41795e-01
7.96000e+03 8.26326e-01
7.98500e+03 8.12790e-01
8.01000e+03 7.95791e-01
8.03500e+03 7.84405e-01
8.06000e+03 7.83854e-01
8.08500e+03 7.86201e-01
8.11000e+03 7.87704e-01
8.13500e+03 7.83048e-01
8.16000e+03 7.75403e-01
8.18500e+03 7.70745e-01
8.21000e+03 7.67006e-01
8.23500e+03 7.52138e-01
8.26000e+03 7.31997e-01
8.28500e+03 7.13325e-01
8.31000e+03 6.92869e-01
8.33500e+03 6.78547e-01
8.36000e+03 6.67467e-01
8.38500e+03 6.61641e-01
8.41000e+03 6.60236e-01
8.43500e+03 6.44885e-01
8.46000e+03 6.13863e-01
8.48500e+03 5.76883e-01
8.51000e+03 4.97497e-01
8.53500e+03 3.37393e-01
8.56000e+03 1.52916e-01
8.58500e+03 5.21217e-02
8.61000e+03 2.31434e-02
8.63500e+03 0.00000e+00
8.66000e+03 0.00000e+00
