# hst-ACS_update_sep07-wfc_f850lp_t77
# photon
# from FILTER.RES.DR34.latest
7.86000e+03 0.00000e+00
7.89000e+03 0.00000e+00
7.92000e+03 2.30811e-03
7.95000e+03 3.39865e-03
7.98000e+03 5.84827e-03
8.01000e+03 1.15293e-02
8.04000e+03 2.05794e-02
8.07000e+03 3.36001e-02
8.10000e+03 5.58854e-02
8.13000e+03 8.72292e-02
8.16000e+03 1.31316e-01
8.19000e+03 1.88728e-01
8.22000e+03 2.58802e-01
8.25000e+03 3.35328e-01
8.28000e+03 4.29509e-01
8.31000e+03 5.21044e-01
8.34000e+03 6.17041e-01
8.37000e+03 7.01151e-01
8.40000e+03 7.75548e-01
8.43000e+03 8.31652e-01
8.46000e+03 8.79558e-01
8.49000e+03 9.25653e-01
8.52000e+03 9.56823e-01
8.55000e+03 9.76383e-01
8.58000e+03 9.88794e-01
8.61000e+03 1.00000e+00
8.64000e+03 9.94112e-01
8.67000e+03 9.92531e-01
8.70000e+03 9.88164e-01
8.73000e+03 9.76813e-01
8.76000e+03 9.68504e-01
8.79000e+03 9.54969e-01
8.82000e+03 9.37403e-01
8.85000e+03 9.22922e-01
8.88000e+03 9.09265e-01
8.91000e+03 8.91376e-01
8.94000e+03 8.75546e-01
8.97000e+03 8.57240e-01
9.00000e+03 8.41887e-01
9.03000e+03 8.21363e-01
9.06000e+03 8.02613e-01
9.09000e+03 7.84867e-01
9.12000e+03 7.67654e-01
9.15000e+03 7.47877e-01
9.18000e+03 7.30505e-01
9.21000e+03 7.10761e-01
9.24000e+03 6.93554e-01
9.27000e+03 6.76812e-01
9.30000e+03 6.60583e-01
9.33000e+03 6.41155e-01
9.36000e+03 6.23543e-01
9.39000e+03 6.03900e-01
9.42000e+03 5.81326e-01
9.45000e+03 5.58628e-01
9.48000e+03 5.35849e-01
9.51000e+03 5.10851e-01
9.54000e+03 4.85525e-01
9.57000e+03 4.67162e-01
9.60000e+03 4.45881e-01
9.63000e+03 4.24248e-01
9.66000e+03 4.04055e-01
9.69000e+03 3.82185e-01
9.72000e+03 3.62078e-01
9.75000e+03 3.42416e-01
9.78000e+03 3.22213e-01
9.81000e+03 3.05656e-01
9.84000e+03 2.92061e-01
9.87000e+03 2.78194e-01
9.90000e+03 2.65275e-01
9.93000e+03 2.51227e-01
9.96000e+03 2.38195e-01
9.99000e+03 2.24957e-01
1.00200e+04 2.12669e-01
1.00500e+04 2.02730e-01
1.00800e+04 1.92070e-01
1.01100e+04 1.81397e-01
1.01400e+04 1.71232e-01
1.01700e+04 1.59911e-01
1.02000e+04 1.49414e-01
1.02300e+04 1.41261e-01
1.02600e+04 1.33289e-01
1.02900e+04 1.25249e-01
1.03200e+04 1.17260e-01
1.03500e+04 1.09229e-01
1.03800e+04 1.01165e-01
1.04100e+04 9.34967e-02
1.04400e+04 8.74376e-02
1.04700e+04 8.13789e-02
1.05000e+04 7.50597e-02
1.05300e+04 6.89734e-02
1.05600e+04 6.28183e-02
1.05900e+04 5.67141e-02
1.06200e+04 5.16994e-02
1.06500e+04 4.72465e-02
1.06800e+04 4.27805e-02
1.07100e+04 3.82784e-02
1.07400e+04 3.37665e-02
1.07700e+04 2.92875e-02
1.08000e+04 2.42002e-02
1.08300e+04 1.80443e-02
1.08600e+04 0.00000e+00
1.08900e+04 0.00000e+00
