# hst-nicmos_f110w
# photon
# from FILTER.RES.DR34.latest
7.74000e+03 0.00000e+00
7.77500e+03 0.00000e+00
7.81000e+03 8.64947e-03
7.84500e+03 1.64606e-02
7.88000e+03 3.37924e-02
7.91500e+03 5.41252e-02
7.95000e+03 8.00464e-02
7.98500e+03 1.33887e-01
8.02000e+03 2.44023e-01
8.05500e+03 3.69628e-01
8.09000e+03 4.27063e-01
8.12500e+03 4.53616e-01
8.16000e+03 4.56050e-01
8.19500e+03 4.36555e-01
8.23000e+03 4.07211e-01
8.26500e+03 4.01030e-01
8.30000e+03 4.19992e-01
8.33500e+03 4.40333e-01
8.37000e+03 4.58750e-01
8.40500e+03 4.43747e-01
8.44000e+03 4.29701e-01
8.47500e+03 3.75622e-01
8.51000e+03 3.68755e-01
8.54500e+03 4.56631e-01
8.58000e+03 4.05107e-01
8.61500e+03 3.67411e-01
8.65000e+03 4.45707e-01
8.68500e+03 5.03772e-01
8.72000e+03 5.26749e-01
8.75500e+03 4.68382e-01
8.79000e+03 3.68778e-01
8.82500e+03 3.21152e-01
8.86000e+03 2.68390e-01
8.89500e+03 2.48024e-01
8.93000e+03 2.99443e-01
8.96500e+03 3.00734e-01
9.00000e+03 2.63192e-01
9.03500e+03 3.32871e-01
9.07000e+03 4.78640e-01
9.10500e+03 5.34366e-01
9.14000e+03 5.60103e-01
9.17500e+03 5.90177e-01
9.21000e+03 5.96136e-01
9.24500e+03 5.84051e-01
9.28000e+03 5.38765e-01
9.31500e+03 5.24263e-01
9.35000e+03 5.58658e-01
9.38500e+03 5.88316e-01
9.42000e+03 6.05530e-01
9.45500e+03 6.16033e-01
9.49000e+03 6.26059e-01
9.52500e+03 6.37764e-01
9.56000e+03 6.25596e-01
9.59500e+03 6.26818e-01
9.63000e+03 6.63804e-01
9.66500e+03 6.81896e-01
9.70000e+03 6.87236e-01
9.73500e+03 7.02880e-01
9.77000e+03 7.04881e-01
9.80500e+03 7.15872e-01
9.84000e+03 7.34113e-01
9.87500e+03 7.19495e-01
9.91000e+03 7.17120e-01
9.94500e+03 7.47189e-01
9.98000e+03 7.55629e-01
1.00150e+04 7.56587e-01
1.00500e+04 7.73088e-01
1.00850e+04 7.72788e-01
1.01200e+04 7.67512e-01
1.01550e+04 7.63291e-01
1.01900e+04 7.32993e-01
1.02250e+04 7.08982e-01
1.02600e+04 7.20220e-01
1.02950e+04 7.34272e-01
1.03300e+04 7.38769e-01
1.03650e+04 7.59231e-01
1.04000e+04 7.86338e-01
1.04350e+04 8.09264e-01
1.04700e+04 8.35023e-01
1.05050e+04 8.09612e-01
1.05400e+04 7.23480e-01
1.05750e+04 6.75418e-01
1.06100e+04 7.10876e-01
1.06450e+04 7.83487e-01
1.06800e+04 8.24456e-01
1.07150e+04 8.07941e-01
1.07500e+04 7.32754e-01
1.07850e+04 6.46393e-01
1.08200e+04 6.24085e-01
1.08550e+04 6.95028e-01
1.08900e+04 8.19487e-01
1.09250e+04 9.11687e-01
1.09600e+04 9.39833e-01
1.09950e+04 9.15172e-01
1.10300e+04 8.44237e-01
1.10650e+04 7.92864e-01
1.11000e+04 8.17601e-01
1.11350e+04 8.90510e-01
1.11700e+04 9.20331e-01
1.12050e+04 8.94760e-01
1.12400e+04 8.82299e-01
1.12750e+04 8.92409e-01
1.13100e+04 8.85993e-01
1.13450e+04 8.71885e-01
1.13800e+04 8.82674e-01
1.14150e+04 8.97783e-01
1.14500e+04 8.76995e-01
1.14850e+04 8.45469e-01
1.15200e+04 8.53733e-01
1.15550e+04 8.97362e-01
1.15900e+04 9.24913e-01
1.16250e+04 9.17224e-01
1.16600e+04 9.06687e-01
1.16950e+04 9.08576e-01
1.17300e+04 9.05961e-01
1.17650e+04 8.98665e-01
1.18000e+04 9.05696e-01
1.18350e+04 9.19233e-01
1.18700e+04 9.02845e-01
1.19050e+04 8.56261e-01
1.19400e+04 8.27245e-01
1.19750e+04 8.48166e-01
1.20100e+04 9.02547e-01
1.20450e+04 9.42356e-01
1.20800e+04 9.44311e-01
1.21150e+04 9.35403e-01
1.21500e+04 9.37993e-01
1.21850e+04 9.43414e-01
1.22200e+04 9.41325e-01
1.22550e+04 9.40026e-01
1.22900e+04 9.43668e-01
1.23250e+04 9.35344e-01
1.23600e+04 8.98878e-01
1.23950e+04 8.54030e-01
1.24300e+04 8.34952e-01
1.24650e+04 8.55015e-01
1.25000e+04 8.97528e-01
1.25350e+04 9.33163e-01
1.25700e+04 9.48835e-01
1.26050e+04 9.55850e-01
1.26400e+04 9.64394e-01
1.26750e+04 9.71510e-01
1.27100e+04 9.74756e-01
1.27450e+04 9.78018e-01
1.27800e+04 9.75145e-01
1.28150e+04 9.39981e-01
1.28500e+04 8.65373e-01
1.28850e+04 7.88061e-01
1.29200e+04 7.53901e-01
1.29550e+04 7.81753e-01
1.29900e+04 8.52248e-01
1.30250e+04 9.05317e-01
1.30600e+04 8.92016e-01
1.30950e+04 8.49604e-01
1.31300e+04 8.45828e-01
1.31650e+04 8.97848e-01
1.32000e+04 9.45904e-01
1.32350e+04 9.04711e-01
1.32700e+04 7.95855e-01
1.33050e+04 7.18962e-01
1.33400e+04 7.30626e-01
1.33750e+04 8.39556e-01
1.34100e+04 9.82147e-01
1.34450e+04 1.00000e+00
1.34800e+04 8.58606e-01
1.35150e+04 7.09775e-01
1.35500e+04 6.38251e-01
1.35850e+04 6.43325e-01
1.36200e+04 6.95601e-01
1.36550e+04 7.51177e-01
1.36900e+04 7.80966e-01
1.37250e+04 7.93271e-01
1.37600e+04 8.19329e-01
1.37950e+04 8.70116e-01
1.38300e+04 9.15352e-01
1.38650e+04 9.00661e-01
1.39000e+04 8.02061e-01
1.39350e+04 6.37639e-01
1.39700e+04 4.47770e-01
1.40050e+04 2.87642e-01
1.40400e+04 1.76868e-01
1.40750e+04 1.09737e-01
1.41100e+04 7.10048e-02
1.41450e+04 4.84256e-02
1.41800e+04 3.44438e-02
1.42150e+04 2.51447e-02
1.42500e+04 1.87571e-02
1.42850e+04 1.41985e-02
1.43200e+04 1.09150e-02
1.43550e+04 8.39434e-03
1.43900e+04 6.92519e-03
1.44250e+04 0.00000e+00
1.44600e+04 0.00000e+00
