# hst-wfc3-IR-f098m
# photon
# from FILTER.RES.DR34.latest
8.75500e+03 0.00000e+00
8.78500e+03 0.00000e+00
8.81500e+03 1.23248e-03
8.84500e+03 2.59480e-03
8.87500e+03 6.41670e-03
8.90500e+03 1.71146e-02
8.93500e+03 5.05347e-02
8.96500e+03 1.49279e-01
8.99500e+03 3.65003e-01
9.02500e+03 6.36604e-01
9.05500e+03 8.00244e-01
9.08500e+03 8.36615e-01
9.11500e+03 8.35821e-01
9.14500e+03 8.31723e-01
9.17500e+03 8.31104e-01
9.20500e+03 8.36767e-01
9.23500e+03 8.49487e-01
9.26500e+03 8.60227e-01
9.29500e+03 8.66507e-01
9.32500e+03 8.71067e-01
9.35500e+03 8.76618e-01
9.38500e+03 8.82709e-01
9.41500e+03 8.80353e-01
9.44500e+03 8.71545e-01
9.47500e+03 8.73301e-01
9.50500e+03 8.87816e-01
9.53500e+03 8.93703e-01
9.56500e+03 8.88755e-01
9.59500e+03 8.89221e-01
9.62500e+03 8.93312e-01
9.65500e+03 8.94183e-01
9.68500e+03 8.98903e-01
9.71500e+03 9.08836e-01
9.74500e+03 9.15347e-01
9.77500e+03 9.21658e-01
9.80500e+03 9.37690e-01
9.83500e+03 9.54403e-01
9.86500e+03 9.61748e-01
9.89500e+03 9.62474e-01
9.92500e+03 9.61201e-01
9.95500e+03 9.55063e-01
9.98500e+03 9.48680e-01
1.00150e+04 9.50886e-01
1.00450e+04 9.51789e-01
1.00750e+04 9.36667e-01
1.01050e+04 9.18367e-01
1.01350e+04 9.19109e-01
1.01650e+04 9.32977e-01
1.01950e+04 9.31981e-01
1.02250e+04 9.15585e-01
1.02550e+04 9.18743e-01
1.02850e+04 9.52791e-01
1.03150e+04 9.86769e-01
1.03450e+04 9.96001e-01
1.03750e+04 9.93501e-01
1.04050e+04 9.97615e-01
1.04350e+04 1.00000e+00
1.04650e+04 9.88250e-01
1.04950e+04 9.65479e-01
1.05250e+04 9.42846e-01
1.05550e+04 9.42542e-01
1.05850e+04 9.61339e-01
1.06150e+04 9.70484e-01
1.06450e+04 9.24636e-01
1.06750e+04 7.51092e-01
1.07050e+04 4.71676e-01
1.07350e+04 2.42564e-01
1.07650e+04 1.08753e-01
1.07950e+04 4.29619e-02
1.08250e+04 1.75011e-02
1.08550e+04 8.42008e-03
1.08850e+04 4.91585e-03
1.09150e+04 3.05129e-03
1.09450e+04 1.57634e-03
1.09750e+04 7.18596e-04
1.10050e+04 3.23013e-04
1.10350e+04 1.94996e-04
1.10650e+04 1.72541e-04
1.10950e+04 1.50032e-04
1.11250e+04 1.27467e-04
1.11550e+04 1.18672e-04
1.11850e+04 1.74456e-04
1.12150e+04 2.38614e-04
1.12450e+04 3.01115e-04
1.12750e+04 3.17029e-04
1.13050e+04 3.12529e-04
1.13350e+04 3.08017e-04
1.13650e+04 3.03491e-04
1.13950e+04 2.98956e-04
1.14250e+04 2.94454e-04
1.14550e+04 2.89951e-04
1.14850e+04 2.85433e-04
1.15150e+04 2.80805e-04
1.15450e+04 2.76072e-04
1.15750e+04 2.71330e-04
1.16050e+04 2.66580e-04
1.16350e+04 2.61824e-04
1.16650e+04 2.57059e-04
1.16950e+04 2.52286e-04
1.17250e+04 2.47503e-04
1.17550e+04 2.42711e-04
1.17850e+04 2.37909e-04
1.18150e+04 2.33051e-04
1.18450e+04 2.28139e-04
1.18750e+04 2.23221e-04
1.19050e+04 2.19083e-04
1.19350e+04 2.18701e-04
1.19650e+04 1.92747e-04
1.19950e+04 1.29211e-04
1.20250e+04 1.09469e-04
1.20550e+04 1.09508e-04
1.20850e+04 1.09546e-04
1.21150e+04 1.09585e-04
1.21450e+04 1.09623e-04
1.21750e+04 1.09661e-04
1.22050e+04 1.09692e-04
