# hst-wfc3-IR-f105w
# photon
# from FILTER.RES.DR34.latest
8.85000e+03 0.00000e+00
8.88500e+03 0.00000e+00
8.92000e+03 5.59454e-03
8.95500e+03 1.39264e-02
8.99000e+03 4.78150e-02
9.02500e+03 1.62640e-01
9.06000e+03 4.06282e-01
9.09500e+03 6.55714e-01
9.13000e+03 7.69629e-01
9.16500e+03 7.98889e-01
9.20000e+03 7.90536e-01
9.23500e+03 7.79109e-01
9.27000e+03 7.93319e-01
9.30500e+03 8.08560e-01
9.34000e+03 8.06630e-01
9.37500e+03 8.07904e-01
9.41000e+03 8.26728e-01
9.44500e+03 8.41702e-01
9.48000e+03 8.36885e-01
9.51500e+03 8.31548e-01
9.55000e+03 8.41474e-01
9.58500e+03 8.50425e-01
9.62000e+03 8.43193e-01
9.65500e+03 8.36909e-01
9.69000e+03 8.50690e-01
9.72500e+03 8.72434e-01
9.76000e+03 8.83110e-01
9.79500e+03 8.89507e-01
9.83000e+03 9.05866e-01
9.86500e+03 9.26681e-01
9.90000e+03 9.28426e-01
9.93500e+03 9.13544e-01
9.97000e+03 9.06071e-01
1.00050e+04 9.12852e-01
1.00400e+04 9.18467e-01
1.00750e+04 9.07983e-01
1.01100e+04 8.93044e-01
1.01450e+04 8.89724e-01
1.01800e+04 8.99727e-01
1.02150e+04 9.08399e-01
1.02500e+04 9.10593e-01
1.02850e+04 9.17175e-01
1.03200e+04 9.37469e-01
1.03550e+04 9.62049e-01
1.03900e+04 9.73380e-01
1.04250e+04 9.66997e-01
1.04600e+04 9.58381e-01
1.04950e+04 9.59967e-01
1.05300e+04 9.66246e-01
1.05650e+04 9.66830e-01
1.06000e+04 9.60122e-01
1.06350e+04 9.53855e-01
1.06700e+04 9.53584e-01
1.07050e+04 9.55056e-01
1.07400e+04 9.52593e-01
1.07750e+04 9.49478e-01
1.08100e+04 9.51027e-01
1.08450e+04 9.60683e-01
1.08800e+04 9.72555e-01
1.09150e+04 9.77863e-01
1.09500e+04 9.76976e-01
1.09850e+04 9.73492e-01
1.10200e+04 9.71827e-01
1.10550e+04 9.67996e-01
1.10900e+04 9.58521e-01
1.11250e+04 9.46549e-01
1.11600e+04 9.36864e-01
1.11950e+04 9.32966e-01
1.12300e+04 9.36103e-01
1.12650e+04 9.44317e-01
1.13000e+04 9.53744e-01
1.13350e+04 9.61094e-01
1.13700e+04 9.66157e-01
1.14050e+04 9.71313e-01
1.14400e+04 9.76392e-01
1.14750e+04 9.82651e-01
1.15100e+04 9.84531e-01
1.15450e+04 9.76853e-01
1.15800e+04 9.64979e-01
1.16150e+04 9.57738e-01
1.16500e+04 9.61937e-01
1.16850e+04 9.73329e-01
1.17200e+04 9.86347e-01
1.17550e+04 9.96270e-01
1.17900e+04 1.00000e+00
1.18250e+04 9.82341e-01
1.18600e+04 9.46999e-01
1.18950e+04 9.40872e-01
1.19300e+04 9.78327e-01
1.19650e+04 8.04884e-01
1.20000e+04 3.77367e-01
1.20350e+04 1.28795e-01
1.20700e+04 4.66524e-02
1.21050e+04 1.86765e-02
1.21400e+04 7.73352e-03
1.21750e+04 3.10975e-03
1.22100e+04 1.35288e-03
1.22450e+04 3.99532e-04
1.22800e+04 1.03900e-04
1.23150e+04 1.03720e-04
1.23500e+04 1.03727e-04
1.23850e+04 1.03735e-04
1.24200e+04 1.03766e-04
1.24550e+04 1.03816e-04
1.24900e+04 1.03868e-04
1.25250e+04 1.03951e-04
1.25600e+04 1.04050e-04
1.25950e+04 1.04148e-04
1.26300e+04 1.04235e-04
1.26650e+04 1.04318e-04
1.27000e+04 1.04401e-04
1.27350e+04 1.04485e-04
1.27700e+04 1.04568e-04
1.28050e+04 1.04638e-04
1.28400e+04 1.04665e-04
1.28750e+04 1.04687e-04
1.29100e+04 1.04709e-04
1.29450e+04 1.04732e-04
1.29800e+04 1.04754e-04
1.30150e+04 1.04827e-04
1.30500e+04 1.04967e-04
1.30850e+04 1.05107e-04
1.31200e+04 1.05247e-04
1.31550e+04 1.05387e-04
1.31900e+04 1.05526e-04
1.32250e+04 1.05614e-04
1.32600e+04 1.05677e-04
1.32950e+04 1.05741e-04
1.33300e+04 1.05805e-04
1.33650e+04 1.05869e-04
1.34000e+04 1.05908e-04
1.34350e+04 1.05795e-04
1.34700e+04 1.05657e-04
1.35050e+04 1.05530e-04
1.35400e+04 1.05438e-04
1.35750e+04 1.05350e-04
1.36100e+04 1.05046e-04
1.36450e+04 1.04279e-04
1.36800e+04 1.03497e-04
1.37150e+04 1.02716e-04
1.37500e+04 1.01936e-04
1.37850e+04 1.01159e-04
1.38200e+04 1.00530e-04
1.38550e+04 1.00923e-04
1.38900e+04 1.01750e-04
1.39250e+04 1.02580e-04
1.39600e+04 1.03414e-04
1.39950e+04 1.04214e-04
1.40300e+04 1.04577e-04
1.40650e+04 1.04816e-04
1.41000e+04 1.05054e-04
1.41350e+04 1.05292e-04
1.41700e+04 1.05530e-04
1.42050e+04 1.05697e-04
1.42400e+04 1.05619e-04
1.42750e+04 1.05517e-04
1.43100e+04 1.05414e-04
1.43450e+04 1.05311e-04
1.43800e+04 1.05208e-04
1.44150e+04 1.05075e-04
1.44500e+04 1.04902e-04
1.44850e+04 1.04729e-04
1.45200e+04 1.04680e-04
1.45550e+04 1.04724e-04
1.45900e+04 1.04768e-04
1.46250e+04 1.04783e-04
1.46600e+04 1.04787e-04
1.46950e+04 1.04790e-04
1.47300e+04 1.04794e-04
1.47650e+04 1.04798e-04
1.48000e+04 1.04797e-04
1.48350e+04 1.04769e-04
1.48700e+04 1.04736e-04
1.49050e+04 1.04703e-04
1.49400e+04 1.04670e-04
1.49750e+04 1.04636e-04
1.50100e+04 1.04600e-04
1.50450e+04 1.04555e-04
1.50800e+04 1.04511e-04
1.51150e+04 1.04466e-04
1.51500e+04 1.04421e-04
1.51850e+04 1.04376e-04
1.52200e+04 1.04314e-04
1.52550e+04 1.04239e-04
1.52900e+04 1.04163e-04
1.53250e+04 1.04088e-04
1.53600e+04 1.04013e-04
1.53950e+04 1.03938e-04
1.54300e+04 1.03877e-04
1.54650e+04 1.03820e-04
1.55000e+04 1.03767e-04
1.55350e+04 1.03737e-04
1.55700e+04 1.03711e-04
1.56050e+04 1.03680e-04
1.56400e+04 1.03636e-04
1.56750e+04 1.03590e-04
1.57100e+04 1.03544e-04
1.57450e+04 1.03499e-04
1.57800e+04 1.03453e-04
1.58150e+04 1.03413e-04
1.58500e+04 1.03382e-04
1.58850e+04 1.03350e-04
1.59200e+04 1.03319e-04
1.59550e+04 1.03295e-04
1.59900e+04 0.00000e+00
1.60250e+04 0.00000e+00
