# hst-wfc3-UVIS-f225w
# photon
# from FILTER.RES.DR34.latest
1.98000e+03 0.00000e+00
1.98500e+03 0.00000e+00
1.99000e+03 3.33387e-02
1.99500e+03 3.92281e-02
2.00000e+03 4.74731e-02
2.00500e+03 5.78023e-02
2.01000e+03 6.90682e-02
2.01500e+03 8.32765e-02
2.02000e+03 9.86672e-02
2.02500e+03 1.17056e-01
2.03000e+03 1.36623e-01
2.03500e+03 1.58739e-01
2.04000e+03 1.81798e-01
2.04500e+03 2.05964e-01
2.05000e+03 2.30566e-01
2.05500e+03 2.54856e-01
2.06000e+03 2.79055e-01
2.06500e+03 3.01479e-01
2.07000e+03 3.23392e-01
2.07500e+03 3.43414e-01
2.08000e+03 3.62852e-01
2.08500e+03 3.80209e-01
2.09000e+03 3.96966e-01
2.09500e+03 4.12294e-01
2.10000e+03 4.27835e-01
2.10500e+03 4.46255e-01
2.11000e+03 4.65389e-01
2.11500e+03 4.84121e-01
2.12000e+03 5.03009e-01
2.12500e+03 5.21822e-01
2.13000e+03 5.40857e-01
2.13500e+03 5.59650e-01
2.14000e+03 5.78564e-01
2.14500e+03 5.96761e-01
2.15000e+03 6.14900e-01
2.15500e+03 6.32107e-01
2.16000e+03 6.49147e-01
2.16500e+03 6.65011e-01
2.17000e+03 6.80587e-01
2.17500e+03 6.94768e-01
2.18000e+03 7.08534e-01
2.18500e+03 7.20606e-01
2.19000e+03 7.32191e-01
2.19500e+03 7.42735e-01
2.20000e+03 7.53104e-01
2.20500e+03 7.63353e-01
2.21000e+03 7.73424e-01
2.21500e+03 7.82575e-01
2.22000e+03 7.91431e-01
2.22500e+03 7.99715e-01
2.23000e+03 8.07573e-01
2.23500e+03 8.13836e-01
2.24000e+03 8.19809e-01
2.24500e+03 8.25804e-01
2.25000e+03 8.31801e-01
2.25500e+03 8.37939e-01
2.26000e+03 8.44145e-01
2.26500e+03 8.50789e-01
2.27000e+03 8.57603e-01
2.27500e+03 8.64965e-01
2.28000e+03 8.72500e-01
2.28500e+03 8.80151e-01
2.29000e+03 8.87910e-01
2.29500e+03 8.96396e-01
2.30000e+03 9.04791e-01
2.30500e+03 9.11288e-01
2.31000e+03 9.17503e-01
2.31500e+03 9.23902e-01
2.32000e+03 9.30371e-01
2.32500e+03 9.36832e-01
