# hst-wfc3-UVIS-f475x
# photon
# from FILTER.RES.DR34.latest
3.70000e+03 0.00000e+00
3.71500e+03 0.00000e+00
3.73000e+03 9.00587e-03
3.74500e+03 1.63781e-02
3.76000e+03 3.83361e-02
3.77500e+03 9.16508e-02
3.79000e+03 2.07662e-01
3.80500e+03 3.92920e-01
3.82000e+03 5.72315e-01
3.83500e+03 6.66763e-01
3.85000e+03 6.93627e-01
3.86500e+03 7.01565e-01
3.88000e+03 7.11478e-01
3.89500e+03 7.21630e-01
3.91000e+03 7.29320e-01
3.92500e+03 7.34393e-01
3.94000e+03 7.38930e-01
3.95500e+03 7.45253e-01
3.97000e+03 7.55518e-01
3.98500e+03 7.69139e-01
4.00000e+03 7.83993e-01
4.01500e+03 7.94924e-01
4.03000e+03 8.03723e-01
4.04500e+03 8.09912e-01
4.06000e+03 8.13002e-01
4.07500e+03 8.13696e-01
4.09000e+03 8.14289e-01
4.10500e+03 8.14192e-01
4.12000e+03 8.16146e-01
4.13500e+03 8.19670e-01
4.15000e+03 8.25859e-01
4.16500e+03 8.33753e-01
4.18000e+03 8.42377e-01
4.19500e+03 8.52046e-01
4.21000e+03 8.59505e-01
4.22500e+03 8.66431e-01
4.24000e+03 8.70898e-01
4.25500e+03 8.73482e-01
4.27000e+03 8.75020e-01
4.28500e+03 8.75063e-01
4.30000e+03 8.75710e-01
4.31500e+03 8.76611e-01
4.33000e+03 8.78085e-01
4.34500e+03 8.81326e-01
4.36000e+03 8.85478e-01
4.37500e+03 8.91028e-01
4.39000e+03 8.97387e-01
4.40500e+03 9.03739e-01
4.42000e+03 9.10780e-01
4.43500e+03 9.17613e-01
4.45000e+03 9.22630e-01
4.46500e+03 9.27118e-01
4.48000e+03 9.30165e-01
4.49500e+03 9.31189e-01
4.51000e+03 9.30994e-01
4.52500e+03 9.29469e-01
4.54000e+03 9.27193e-01
4.55500e+03 9.25259e-01
4.57000e+03 9.24195e-01
4.58500e+03 9.23714e-01
4.60000e+03 9.24314e-01
4.61500e+03 9.26835e-01
4.63000e+03 9.30607e-01
4.64500e+03 9.35162e-01
4.66000e+03 9.40303e-01
4.67500e+03 9.47312e-01
4.69000e+03 9.54154e-01
4.70500e+03 9.60889e-01
4.72000e+03 9.67133e-01
4.73500e+03 9.72782e-01
4.75000e+03 9.78325e-01
4.76500e+03 9.81838e-01
4.78000e+03 9.83500e-01
4.79500e+03 9.84664e-01
4.81000e+03 9.84052e-01
4.82500e+03 9.82957e-01
4.84000e+03 9.79953e-01
4.85500e+03 9.76505e-01
4.87000e+03 9.73908e-01
4.88500e+03 9.69700e-01
4.90000e+03 9.67269e-01
4.91500e+03 9.65569e-01
4.93000e+03 9.63829e-01
4.94500e+03 9.62991e-01
4.96000e+03 9.63648e-01
4.97500e+03 9.64277e-01
4.99000e+03 9.66579e-01
5.00500e+03 9.70160e-01
5.02000e+03 9.73989e-01
5.03500e+03 9.77816e-01
5.05000e+03 9.81278e-01
5.06500e+03 9.85155e-01
5.08000e+03 9.88713e-01
5.09500e+03 9.92435e-01
5.11000e+03 9.95324e-01
5.12500e+03 9.97619e-01
5.14000e+03 9.99542e-01
5.15500e+03 1.00000e+00
5.17000e+03 9.99623e-01
5.18500e+03 9.98170e-01
5.20000e+03 9.96678e-01
5.21500e+03 9.92817e-01
5.23000e+03 9.89359e-01
5.24500e+03 9.85926e-01
5.26000e+03 9.81342e-01
5.27500e+03 9.77001e-01
5.29000e+03 9.72414e-01
5.30500e+03 9.67654e-01
5.32000e+03 9.63185e-01
5.33500e+03 9.58339e-01
5.35000e+03 9.54186e-01
5.36500e+03 9.50330e-01
5.38000e+03 9.45708e-01
5.39500e+03 9.41947e-01
5.41000e+03 9.38127e-01
5.42500e+03 9.34090e-01
5.44000e+03 9.29804e-01
5.45500e+03 9.25353e-01
5.47000e+03 9.21180e-01
5.48500e+03 9.16181e-01
5.50000e+03 9.10093e-01
5.51500e+03 9.04404e-01
5.53000e+03 8.98240e-01
5.54500e+03 8.90921e-01
5.56000e+03 8.83138e-01
5.57500e+03 8.74066e-01
5.59000e+03 8.64908e-01
5.60500e+03 8.55035e-01
5.62000e+03 8.44396e-01
5.63500e+03 8.33758e-01
5.65000e+03 8.21602e-01
5.66500e+03 8.09048e-01
5.68000e+03 7.96504e-01
5.69500e+03 7.83750e-01
5.71000e+03 7.70203e-01
5.72500e+03 7.56122e-01
5.74000e+03 7.42512e-01
5.75500e+03 7.28668e-01
5.77000e+03 7.14414e-01
5.78500e+03 7.00761e-01
5.80000e+03 6.86822e-01
5.81500e+03 6.72461e-01
5.83000e+03 6.58140e-01
5.84500e+03 6.43760e-01
5.86000e+03 6.29850e-01
5.87500e+03 6.15829e-01
5.89000e+03 6.01377e-01
5.90500e+03 5.86965e-01
5.92000e+03 5.71923e-01
5.93500e+03 5.57385e-01
5.95000e+03 5.42642e-01
5.96500e+03 5.27479e-01
5.98000e+03 5.12211e-01
5.99500e+03 4.96892e-01
6.01000e+03 4.81735e-01
6.02500e+03 4.66770e-01
6.04000e+03 4.51387e-01
6.05500e+03 4.36202e-01
6.07000e+03 4.21124e-01
6.08500e+03 4.05407e-01
6.10000e+03 3.89827e-01
6.11500e+03 3.74712e-01
6.13000e+03 3.59602e-01
6.14500e+03 3.44963e-01
6.16000e+03 3.29969e-01
6.17500e+03 3.15662e-01
6.19000e+03 3.01862e-01
6.20500e+03 2.87964e-01
6.22000e+03 2.74627e-01
6.23500e+03 2.61826e-01
6.25000e+03 2.49081e-01
6.26500e+03 2.37166e-01
6.28000e+03 2.25528e-01
6.29500e+03 2.14414e-01
6.31000e+03 2.03707e-01
6.32500e+03 1.93392e-01
6.34000e+03 1.83539e-01
6.35500e+03 1.73948e-01
6.37000e+03 1.64891e-01
6.38500e+03 1.56201e-01
6.40000e+03 1.47961e-01
6.41500e+03 1.39982e-01
6.43000e+03 1.32341e-01
6.44500e+03 1.25020e-01
6.46000e+03 1.18092e-01
6.47500e+03 1.11389e-01
6.49000e+03 1.04985e-01
6.50500e+03 9.87267e-02
6.52000e+03 9.26485e-02
6.53500e+03 8.68198e-02
6.55000e+03 8.13246e-02
6.56500e+03 7.60052e-02
6.58000e+03 7.10570e-02
6.59500e+03 6.62468e-02
6.61000e+03 6.17387e-02
6.62500e+03 5.74534e-02
6.64000e+03 5.32606e-02
6.65500e+03 4.93725e-02
6.67000e+03 4.56863e-02
6.68500e+03 4.22248e-02
6.70000e+03 3.89326e-02
6.71500e+03 3.57682e-02
6.73000e+03 3.29375e-02
6.74500e+03 3.02054e-02
6.76000e+03 2.76609e-02
6.77500e+03 2.52933e-02
6.79000e+03 2.30566e-02
6.80500e+03 2.10301e-02
6.82000e+03 1.91578e-02
6.83500e+03 1.74308e-02
6.85000e+03 1.58219e-02
6.86500e+03 1.43678e-02
6.88000e+03 1.30133e-02
6.89500e+03 1.17862e-02
6.91000e+03 1.06506e-02
6.92500e+03 9.63882e-03
6.94000e+03 8.71556e-03
6.95500e+03 7.85084e-03
6.97000e+03 7.08902e-03
6.98500e+03 6.38415e-03
7.00000e+03 5.78825e-03
7.01500e+03 5.20495e-03
7.03000e+03 4.67789e-03
7.04500e+03 4.21179e-03
7.06000e+03 3.78736e-03
7.07500e+03 3.38736e-03
7.09000e+03 3.05399e-03
7.10500e+03 2.74734e-03
7.12000e+03 2.46094e-03
7.13500e+03 2.23603e-03
7.15000e+03 2.00665e-03
7.16500e+03 1.85725e-03
7.18000e+03 0.00000e+00
7.19500e+03 0.00000e+00
