# hst-wfpc2_f300w
# photon
# from FILTER.RES.DR34.latest
2.31000e+03 0.00000e+00
2.31500e+03 0.00000e+00
2.32000e+03 5.07885e-03
2.32500e+03 6.18397e-03
2.33000e+03 7.79899e-03
2.33500e+03 1.01224e-02
2.34000e+03 1.26433e-02
2.34500e+03 1.53971e-02
2.35000e+03 1.84281e-02
2.35500e+03 2.26377e-02
2.36000e+03 2.72498e-02
2.36500e+03 3.26944e-02
2.37000e+03 3.85459e-02
2.37500e+03 4.55259e-02
2.38000e+03 5.29424e-02
2.38500e+03 6.12495e-02
2.39000e+03 7.00464e-02
2.39500e+03 8.02293e-02
2.40000e+03 9.08981e-02
2.40500e+03 1.02301e-01
2.41000e+03 1.14173e-01
2.41500e+03 1.27285e-01
2.42000e+03 1.40874e-01
2.42500e+03 1.55151e-01
2.43000e+03 1.69911e-01
2.43500e+03 1.85923e-01
2.44000e+03 2.02357e-01
2.44500e+03 2.19007e-01
2.45000e+03 2.36020e-01
2.45500e+03 2.53974e-01
2.46000e+03 2.72206e-01
2.46500e+03 2.90075e-01
2.47000e+03 3.08270e-01
2.47500e+03 3.27780e-01
2.48000e+03 3.47561e-01
2.48500e+03 3.66520e-01
2.49000e+03 3.85692e-01
2.49500e+03 4.05960e-01
2.50000e+03 4.26376e-01
2.50500e+03 4.45474e-01
2.51000e+03 4.64719e-01
2.51500e+03 4.85210e-01
2.52000e+03 5.05783e-01
2.52500e+03 5.24523e-01
2.53000e+03 5.43287e-01
2.53500e+03 5.63125e-01
2.54000e+03 5.81591e-01
2.54500e+03 5.97051e-01
2.55000e+03 6.12375e-01
2.55500e+03 6.28737e-01
2.56000e+03 6.44926e-01
2.56500e+03 6.58753e-01
2.57000e+03 6.72340e-01
2.57500e+03 6.86670e-01
2.58000e+03 7.00818e-01
2.58500e+03 7.12881e-01
2.59000e+03 7.24646e-01
2.59500e+03 7.36573e-01
2.60000e+03 7.48370e-01
2.60500e+03 7.59067e-01
2.61000e+03 7.69599e-01
2.61500e+03 7.80147e-01
2.62000e+03 7.90601e-01
2.62500e+03 8.00366e-01
2.63000e+03 8.09959e-01
2.63500e+03 8.19139e-01
2.64000e+03 8.28106e-01
2.64500e+03 8.36168e-01
2.65000e+03 8.43941e-01
2.65500e+03 8.50893e-01
2.66000e+03 8.57625e-01
2.66500e+03 8.63892e-01
2.67000e+03 8.70058e-01
2.67500e+03 8.76137e-01
2.68000e+03 8.82199e-01
2.68500e+03 8.88306e-01
2.69000e+03 8.94629e-01
2.69500e+03 9.02261e-01
2.70000e+03 9.10337e-01
2.70500e+03 9.19782e-01
2.71000e+03 9.29449e-01
2.71500e+03 9.38847e-01
2.72000e+03 9.48023e-01
2.72500e+03 9.55950e-01
2.73000e+03 9.63609e-01
2.73500e+03 9.70831e-01
2.74000e+03 9.77924e-01
2.74500e+03 9.84621e-01
