# hst-wfpc2_f850lp
# photon
# from FILTER.RES.DR34.latest
7.94000e+03 0.00000e+00
7.97000e+03 0.00000e+00
8.00000e+03 2.12918e-03
8.03000e+03 2.53130e-03
8.06000e+03 3.04612e-03
8.09000e+03 3.53566e-03
8.12000e+03 4.00031e-03
8.15000e+03 4.44045e-03
8.18000e+03 4.85647e-03
8.21000e+03 5.24874e-03
8.24000e+03 5.61765e-03
8.27000e+03 5.96358e-03
8.30000e+03 6.69254e-03
8.33000e+03 2.74243e-02
8.36000e+03 7.06095e-02
8.39000e+03 1.33529e-01
8.42000e+03 2.15135e-01
8.45000e+03 3.12339e-01
8.48000e+03 4.18467e-01
8.51000e+03 5.26752e-01
8.54000e+03 6.28674e-01
8.57000e+03 7.19180e-01
8.60000e+03 7.93793e-01
8.63000e+03 8.56562e-01
8.66000e+03 9.04920e-01
8.69000e+03 9.41803e-01
8.72000e+03 9.68901e-01
8.75000e+03 9.86599e-01
8.78000e+03 9.96678e-01
8.81000e+03 1.00000e+00
8.84000e+03 9.96803e-01
8.87000e+03 9.89203e-01
8.90000e+03 9.79992e-01
8.93000e+03 9.67033e-01
8.96000e+03 9.50786e-01
8.99000e+03 9.32475e-01
9.02000e+03 9.13772e-01
9.05000e+03 8.95679e-01
9.08000e+03 8.74813e-01
9.11000e+03 8.53786e-01
9.14000e+03 8.31408e-01
9.17000e+03 8.08406e-01
9.20000e+03 7.84601e-01
9.23000e+03 7.60991e-01
9.26000e+03 7.35614e-01
9.29000e+03 7.09259e-01
9.32000e+03 6.82857e-01
9.35000e+03 6.56426e-01
9.38000e+03 6.29126e-01
9.41000e+03 6.01127e-01
9.44000e+03 5.73394e-01
9.47000e+03 5.45010e-01
9.50000e+03 5.16717e-01
9.53000e+03 4.93418e-01
9.56000e+03 4.71225e-01
9.59000e+03 4.49046e-01
9.62000e+03 4.27075e-01
9.65000e+03 4.05619e-01
9.68000e+03 3.83733e-01
9.71000e+03 3.62751e-01
9.74000e+03 3.41201e-01
9.77000e+03 3.20340e-01
9.80000e+03 2.98937e-01
9.83000e+03 2.77794e-01
9.86000e+03 2.57222e-01
9.89000e+03 2.36823e-01
9.92000e+03 2.16450e-01
9.95000e+03 1.96584e-01
9.98000e+03 1.76982e-01
1.00100e+04 1.60584e-01
1.00400e+04 1.49602e-01
1.00700e+04 1.38854e-01
1.01000e+04 1.28511e-01
1.01300e+04 1.18669e-01
1.01600e+04 1.08974e-01
1.01900e+04 9.95700e-02
1.02200e+04 9.04166e-02
1.02500e+04 8.15447e-02
1.02800e+04 7.28859e-02
1.03100e+04 6.46075e-02
1.03400e+04 5.65845e-02
1.03700e+04 4.88513e-02
1.04000e+04 4.13686e-02
1.04300e+04 3.41721e-02
1.04600e+04 2.73225e-02
1.04900e+04 2.07670e-02
1.05200e+04 1.76662e-02
1.05500e+04 1.64114e-02
1.05800e+04 1.51753e-02
1.06100e+04 1.39968e-02
1.06400e+04 1.28551e-02
1.06700e+04 1.17554e-02
1.07000e+04 1.06920e-02
1.07300e+04 9.67633e-03
1.07600e+04 8.71830e-03
1.07900e+04 7.77512e-03
1.08200e+04 6.88579e-03
1.08500e+04 6.02619e-03
1.08800e+04 5.22068e-03
1.09100e+04 4.64508e-03
1.09400e+04 0.00000e+00
1.09700e+04 0.00000e+00
