# musyc-B_1255_tot
# photon
# from FILTER.RES.DR34.latest
3.53500e+03 0.00000e+00
3.54500e+03 0.00000e+00
3.55500e+03 4.57073e-03
3.56500e+03 5.92421e-03
3.57500e+03 8.09498e-03
3.58500e+03 1.06093e-02
3.59500e+03 1.38180e-02
3.60500e+03 1.77551e-02
3.61500e+03 2.23825e-02
3.62500e+03 2.76998e-02
3.63500e+03 3.34961e-02
3.64500e+03 4.03211e-02
3.65500e+03 4.84336e-02
3.66500e+03 5.69295e-02
3.67500e+03 6.63332e-02
3.68500e+03 7.68896e-02
3.69500e+03 8.81044e-02
3.70500e+03 1.00193e-01
3.71500e+03 1.13281e-01
3.72500e+03 1.27122e-01
3.73500e+03 1.41675e-01
3.74500e+03 1.57271e-01
3.75500e+03 1.72949e-01
3.76500e+03 1.89423e-01
3.77500e+03 2.06127e-01
3.78500e+03 2.23492e-01
3.79500e+03 2.41165e-01
3.80500e+03 2.58946e-01
3.81500e+03 2.76801e-01
3.82500e+03 2.95236e-01
3.83500e+03 3.14005e-01
3.84500e+03 3.33276e-01
3.85500e+03 3.52667e-01
3.86500e+03 3.71854e-01
3.87500e+03 3.91193e-01
3.88500e+03 4.10874e-01
3.89500e+03 4.30560e-01
3.90500e+03 4.50173e-01
3.91500e+03 4.70225e-01
3.92500e+03 4.89288e-01
3.93500e+03 5.07677e-01
3.94500e+03 5.26584e-01
3.95500e+03 5.46071e-01
3.96500e+03 5.65666e-01
3.97500e+03 5.85415e-01
3.98500e+03 6.03842e-01
3.99500e+03 6.23285e-01
4.00500e+03 6.42164e-01
4.01500e+03 6.60885e-01
4.02500e+03 6.78794e-01
4.03500e+03 6.96583e-01
4.04500e+03 7.14522e-01
4.05500e+03 7.29939e-01
4.06500e+03 7.40327e-01
4.07500e+03 7.50437e-01
4.08500e+03 7.61500e-01
4.09500e+03 7.72748e-01
4.10500e+03 7.83445e-01
4.11500e+03 7.94420e-01
4.12500e+03 8.04984e-01
4.13500e+03 8.15722e-01
4.14500e+03 8.25747e-01
4.15500e+03 8.34397e-01
4.16500e+03 8.41521e-01
4.17500e+03 8.50370e-01
4.18500e+03 8.57581e-01
4.19500e+03 8.64571e-01
4.20500e+03 8.71670e-01
4.21500e+03 8.80611e-01
4.22500e+03 8.90431e-01
4.23500e+03 8.97617e-01
4.24500e+03 9.05283e-01
4.25500e+03 9.12847e-01
4.26500e+03 9.20126e-01
4.27500e+03 9.26586e-01
4.28500e+03 9.33244e-01
4.29500e+03 9.37188e-01
4.30500e+03 9.41588e-01
4.31500e+03 9.45390e-01
4.32500e+03 9.50954e-01
4.33500e+03 9.56210e-01
4.34500e+03 9.60132e-01
4.35500e+03 9.64157e-01
4.36500e+03 9.67675e-01
4.37500e+03 9.71336e-01
4.38500e+03 9.75994e-01
4.39500e+03 9.79087e-01
4.40500e+03 9.82185e-01
4.41500e+03 9.85404e-01
4.42500e+03 9.88641e-01
4.43500e+03 9.91269e-01
4.44500e+03 9.93314e-01
4.45500e+03 9.95448e-01
4.46500e+03 9.98707e-01
4.47500e+03 9.99698e-01
4.48500e+03 9.99147e-01
4.49500e+03 9.99918e-01
4.50500e+03 1.00000e+00
4.51500e+03 9.98886e-01
4.52500e+03 9.97206e-01
4.53500e+03 9.98111e-01
4.54500e+03 9.96143e-01
4.55500e+03 9.94546e-01
4.56500e+03 9.92543e-01
4.57500e+03 9.88489e-01
4.58500e+03 9.85355e-01
4.59500e+03 9.79872e-01
4.60500e+03 9.73742e-01
4.61500e+03 9.65997e-01
4.62500e+03 9.57579e-01
4.63500e+03 9.49523e-01
4.64500e+03 9.42760e-01
4.65500e+03 9.34472e-01
4.66500e+03 9.23729e-01
4.67500e+03 9.11739e-01
4.68500e+03 8.96344e-01
4.69500e+03 8.79686e-01
4.70500e+03 8.61861e-01
4.71500e+03 8.42756e-01
4.72500e+03 8.22893e-01
4.73500e+03 8.02637e-01
