# musyc-B_cdfs_tot
# photon
# from FILTER.RES.DR34.latest
3.91500e+03 0.00000e+00
3.93000e+03 0.00000e+00
3.94500e+03 2.87400e-02
3.96000e+03 5.94539e-02
3.97500e+03 8.27358e-02
3.99000e+03 1.24572e-01
4.00500e+03 1.96027e-01
4.02000e+03 2.48579e-01
4.03500e+03 2.77880e-01
4.05000e+03 3.17122e-01
4.06500e+03 3.69442e-01
4.08000e+03 4.16684e-01
4.09500e+03 4.45055e-01
4.11000e+03 4.60678e-01
4.12500e+03 4.75585e-01
4.14000e+03 4.95877e-01
4.15500e+03 5.20854e-01
4.17000e+03 5.47239e-01
4.18500e+03 5.71374e-01
4.20000e+03 5.94445e-01
4.21500e+03 6.16253e-01
4.23000e+03 6.36047e-01
4.24500e+03 6.54517e-01
4.26000e+03 6.71027e-01
4.27500e+03 6.85735e-01
4.29000e+03 6.99217e-01
4.30500e+03 7.11501e-01
4.32000e+03 7.24392e-01
4.33500e+03 7.38294e-01
4.35000e+03 7.53358e-01
4.36500e+03 7.68526e-01
4.38000e+03 7.82362e-01
4.39500e+03 7.93393e-01
4.41000e+03 8.01921e-01
4.42500e+03 8.08316e-01
4.44000e+03 8.14276e-01
4.45500e+03 8.21541e-01
4.47000e+03 8.31658e-01
4.48500e+03 8.44730e-01
4.50000e+03 8.59525e-01
4.51500e+03 8.73891e-01
4.53000e+03 8.86111e-01
4.54500e+03 8.95003e-01
4.56000e+03 9.00247e-01
4.57500e+03 9.02518e-01
4.59000e+03 9.03408e-01
4.60500e+03 9.04495e-01
4.62000e+03 9.07201e-01
4.63500e+03 9.11608e-01
4.65000e+03 9.19164e-01
4.66500e+03 9.29170e-01
4.68000e+03 9.41123e-01
4.69500e+03 9.54187e-01
4.71000e+03 9.67334e-01
4.72500e+03 9.78955e-01
4.74000e+03 9.87422e-01
4.75500e+03 9.91603e-01
4.77000e+03 9.90642e-01
4.78500e+03 9.84477e-01
4.80000e+03 9.73906e-01
4.81500e+03 9.60371e-01
4.83000e+03 9.48111e-01
4.84500e+03 9.38563e-01
4.86000e+03 9.36243e-01
4.87500e+03 9.43693e-01
4.89000e+03 9.61500e-01
4.90500e+03 9.83614e-01
4.92000e+03 1.00000e+00
4.93500e+03 9.96351e-01
4.95000e+03 9.64443e-01
4.96500e+03 9.12295e-01
4.98000e+03 8.61652e-01
4.99500e+03 8.44148e-01
5.01000e+03 8.86331e-01
5.02500e+03 9.74704e-01
5.04000e+03 9.31343e-01
5.05500e+03 6.01522e-01
5.07000e+03 2.48580e-01
5.08500e+03 8.88606e-02
5.10000e+03 3.41030e-02
5.11500e+03 1.46828e-02
5.13000e+03 7.02479e-03
5.14500e+03 3.62351e-03
5.16000e+03 1.98538e-03
5.17500e+03 1.14062e-03
5.19000e+03 6.89833e-04
5.20500e+03 4.32136e-04
5.22000e+03 2.83965e-04
5.23500e+03 2.19686e-04
5.25000e+03 1.83072e-04
5.26500e+03 1.46458e-04
5.28000e+03 1.09844e-04
5.29500e+03 7.32295e-05
5.31000e+03 3.66155e-05
5.32500e+03 4.57819e-06
5.34000e+03 1.43444e-09
5.35500e+03 1.43444e-09
5.37000e+03 1.43444e-09
5.38500e+03 1.43444e-09
5.40000e+03 1.43444e-09
5.41500e+03 1.43444e-09
5.43000e+03 1.43444e-09
5.44500e+03 1.43444e-09
5.46000e+03 1.43444e-09
5.47500e+03 1.43444e-09
5.49000e+03 1.43444e-09
5.50500e+03 1.43444e-09
5.52000e+03 1.43444e-09
5.53500e+03 1.43444e-09
5.55000e+03 1.43444e-09
5.56500e+03 1.43444e-09
5.58000e+03 1.43444e-09
5.59500e+03 1.43444e-09
5.61000e+03 1.43444e-09
5.62500e+03 1.43444e-09
5.64000e+03 1.43444e-09
5.65500e+03 1.43444e-09
5.67000e+03 1.43444e-09
5.68500e+03 1.43444e-09
5.70000e+03 1.43444e-09
5.71500e+03 1.43444e-09
5.73000e+03 1.43444e-09
5.74500e+03 1.43444e-09
5.76000e+03 1.43444e-09
5.77500e+03 1.43444e-09
5.79000e+03 1.43444e-09
5.80500e+03 1.43444e-09
5.82000e+03 1.43444e-09
5.83500e+03 1.43444e-09
5.85000e+03 1.43444e-09
5.86500e+03 1.43444e-09
5.88000e+03 1.43444e-09
5.89500e+03 1.43444e-09
5.91000e+03 1.43444e-09
5.92500e+03 1.43444e-09
5.94000e+03 1.43444e-09
5.95500e+03 1.43444e-09
5.97000e+03 1.43444e-09
5.98500e+03 1.43444e-09
6.00000e+03 1.43444e-09
6.01500e+03 1.43444e-09
6.03000e+03 1.43444e-09
6.04500e+03 1.43444e-09
6.06000e+03 1.43444e-09
6.07500e+03 1.43444e-09
6.09000e+03 1.43444e-09
6.10500e+03 1.43444e-09
6.12000e+03 1.43444e-09
6.13500e+03 1.43444e-09
6.15000e+03 1.43444e-09
6.16500e+03 1.43444e-09
6.18000e+03 1.43444e-09
6.19500e+03 1.43444e-09
6.21000e+03 1.43444e-09
6.22500e+03 1.43444e-09
6.24000e+03 1.43444e-09
6.25500e+03 1.43444e-09
6.27000e+03 1.43444e-09
6.28500e+03 1.43444e-09
6.30000e+03 1.43444e-09
6.31500e+03 1.43444e-09
6.33000e+03 1.43444e-09
6.34500e+03 1.43444e-09
6.36000e+03 1.43444e-09
6.37500e+03 1.43444e-09
6.39000e+03 1.43444e-09
6.40500e+03 1.43444e-09
6.42000e+03 1.43444e-09
6.43500e+03 1.43444e-09
6.45000e+03 1.43444e-09
6.46500e+03 1.43444e-09
6.48000e+03 1.43444e-09
6.49500e+03 1.43444e-09
6.51000e+03 1.43444e-09
6.52500e+03 1.43444e-09
6.54000e+03 1.43444e-09
6.55500e+03 1.43444e-09
6.57000e+03 1.43444e-09
6.58500e+03 1.43444e-09
6.60000e+03 1.43444e-09
6.61500e+03 1.43444e-09
6.63000e+03 1.43444e-09
6.64500e+03 1.75974e-05
6.66000e+03 1.22244e-04
6.67500e+03 2.27854e-04
6.69000e+03 5.33099e-04
6.70500e+03 1.86254e-03
6.72000e+03 4.65720e-03
6.73500e+03 3.55457e-03
6.75000e+03 1.28272e-03
6.76500e+03 6.86421e-04
6.78000e+03 0.00000e+00
6.79500e+03 0.00000e+00
