# musyc-Ha_tot.2cols
# photon
# from FILTER.RES.DR34.latest
1.45700e+04 0.00000e+00
1.46200e+04 0.00000e+00
1.46700e+04 4.99109e-03
1.47200e+04 1.01994e-02
1.47700e+04 3.10372e-02
1.48200e+04 7.19579e-02
1.48700e+04 1.51258e-01
1.49200e+04 3.32598e-01
1.49700e+04 5.82870e-01
1.50200e+04 8.29173e-01
1.50700e+04 8.96516e-01
1.51200e+04 9.18010e-01
1.51700e+04 9.19165e-01
1.52200e+04 9.18916e-01
1.52700e+04 9.21477e-01
1.53200e+04 9.32245e-01
1.53700e+04 9.51388e-01
1.54200e+04 9.63865e-01
1.54700e+04 9.76465e-01
1.55200e+04 9.87938e-01
1.55700e+04 9.92042e-01
1.56200e+04 9.86058e-01
1.56700e+04 9.77644e-01
1.57200e+04 9.57036e-01
1.57700e+04 9.62766e-01
1.58200e+04 9.79891e-01
1.58700e+04 9.94732e-01
1.59200e+04 9.96881e-01
1.59700e+04 9.92666e-01
1.60200e+04 9.80187e-01
1.60700e+04 9.68186e-01
1.61200e+04 9.67359e-01
1.61700e+04 9.69399e-01
1.62200e+04 9.60802e-01
1.62700e+04 9.50126e-01
1.63200e+04 9.47872e-01
1.63700e+04 9.50786e-01
1.64200e+04 9.55125e-01
1.64700e+04 9.68617e-01
1.65200e+04 9.82459e-01
1.65700e+04 9.98184e-01
1.66200e+04 1.00000e+00
1.66700e+04 9.96176e-01
1.67200e+04 9.98859e-01
1.67700e+04 9.89797e-01
1.68200e+04 9.84747e-01
1.68700e+04 9.81053e-01
1.69200e+04 9.77431e-01
1.69700e+04 9.77482e-01
1.70200e+04 9.82603e-01
1.70700e+04 9.87981e-01
1.71200e+04 9.89048e-01
1.71700e+04 9.89932e-01
1.72200e+04 9.85448e-01
1.72700e+04 9.75136e-01
1.73200e+04 9.63704e-01
1.73700e+04 9.56836e-01
1.74200e+04 9.48008e-01
1.74700e+04 9.42999e-01
1.75200e+04 9.42627e-01
1.75700e+04 9.39129e-01
1.76200e+04 9.36749e-01
1.76700e+04 9.04435e-01
1.77200e+04 8.06471e-01
1.77700e+04 5.11994e-01
1.78200e+04 2.31911e-01
1.78700e+04 9.41444e-02
1.79200e+04 4.44683e-02
1.79700e+04 2.13563e-02
1.80200e+04 9.18742e-03
1.80700e+04 4.38887e-03
1.81200e+04 3.56284e-03
1.81700e+04 2.95639e-03
1.82200e+04 2.33081e-03
1.82700e+04 2.24288e-03
1.83200e+04 2.04243e-03
1.83700e+04 1.53801e-03
1.84200e+04 1.25849e-03
1.84700e+04 0.00000e+00
1.85200e+04 0.00000e+00
