# musyc-I_1030_tot
# photon
# from FILTER.RES.DR34.latest
6.98500e+03 0.00000e+00
7.01000e+03 0.00000e+00
7.03500e+03 5.20356e-03
7.06000e+03 8.42787e-03
7.08500e+03 1.55494e-02
7.11000e+03 2.71360e-02
7.13500e+03 4.47062e-02
7.16000e+03 7.09760e-02
7.18500e+03 1.10625e-01
7.21000e+03 1.73339e-01
7.23500e+03 2.70733e-01
7.26000e+03 4.10045e-01
7.28500e+03 5.76938e-01
7.31000e+03 7.33990e-01
7.33500e+03 8.47357e-01
7.36000e+03 9.11208e-01
7.38500e+03 9.41010e-01
7.41000e+03 9.54356e-01
7.43500e+03 9.60084e-01
7.46000e+03 9.64777e-01
7.48500e+03 9.69560e-01
7.51000e+03 9.74120e-01
7.53500e+03 9.78334e-01
7.56000e+03 9.82441e-01
7.58500e+03 9.88587e-01
7.61000e+03 9.91746e-01
7.63500e+03 9.93919e-01
7.66000e+03 9.96998e-01
7.68500e+03 9.99721e-01
7.71000e+03 9.99864e-01
7.73500e+03 1.00000e+00
7.76000e+03 9.98838e-01
7.78500e+03 9.95247e-01
7.81000e+03 9.90733e-01
7.83500e+03 9.85180e-01
7.86000e+03 9.79082e-01
7.88500e+03 9.74101e-01
7.91000e+03 9.67791e-01
7.93500e+03 9.63044e-01
7.96000e+03 9.59358e-01
7.98500e+03 9.56587e-01
8.01000e+03 9.51987e-01
8.03500e+03 9.44691e-01
8.06000e+03 9.37191e-01
8.08500e+03 9.30440e-01
8.11000e+03 9.23549e-01
8.13500e+03 9.13907e-01
8.16000e+03 9.04561e-01
8.18500e+03 8.94565e-01
8.21000e+03 8.84342e-01
8.23500e+03 8.72201e-01
8.26000e+03 8.62414e-01
8.28500e+03 8.53396e-01
8.31000e+03 8.43752e-01
8.33500e+03 8.34280e-01
8.36000e+03 8.23999e-01
8.38500e+03 8.13009e-01
8.41000e+03 7.98716e-01
8.43500e+03 7.83455e-01
8.46000e+03 7.64565e-01
8.48500e+03 7.42065e-01
8.51000e+03 7.22254e-01
8.53500e+03 7.06465e-01
8.56000e+03 6.94761e-01
8.58500e+03 6.93967e-01
8.61000e+03 7.00820e-01
8.63500e+03 7.04544e-01
8.66000e+03 6.82402e-01
8.68500e+03 6.09642e-01
8.71000e+03 4.91337e-01
8.73500e+03 3.66220e-01
8.76000e+03 2.68680e-01
8.78500e+03 2.06622e-01
8.81000e+03 1.70532e-01
8.83500e+03 1.48968e-01
8.86000e+03 1.36276e-01
8.88500e+03 1.28220e-01
8.91000e+03 1.22708e-01
8.93500e+03 1.18154e-01
8.96000e+03 1.14029e-01
8.98500e+03 1.08890e-01
9.01000e+03 1.02443e-01
9.03500e+03 9.51965e-02
9.06000e+03 8.73324e-02
9.08500e+03 8.03166e-02
9.11000e+03 7.43248e-02
9.13500e+03 6.87242e-02
9.16000e+03 6.20380e-02
9.18500e+03 5.16665e-02
9.21000e+03 4.10195e-02
9.23500e+03 0.00000e+00
9.26000e+03 0.00000e+00
