# musyc-I_cdfs_tot
# photon
# from FILTER.RES.DR34.latest
7.28500e+03 0.00000e+00
7.31000e+03 0.00000e+00
7.33500e+03 2.66392e-03
7.36000e+03 3.61456e-03
7.38500e+03 5.36140e-03
7.41000e+03 7.83043e-03
7.43500e+03 1.14157e-02
7.46000e+03 1.67652e-02
7.48500e+03 2.44233e-02
7.51000e+03 3.49709e-02
7.53500e+03 4.90336e-02
7.56000e+03 6.74094e-02
7.58500e+03 9.13657e-02
7.61000e+03 1.21093e-01
7.63500e+03 1.55572e-01
7.66000e+03 1.98016e-01
7.68500e+03 2.48318e-01
7.71000e+03 3.05449e-01
7.73500e+03 3.66568e-01
7.76000e+03 4.30256e-01
7.78500e+03 4.95260e-01
7.81000e+03 5.61195e-01
7.83500e+03 6.24249e-01
7.86000e+03 6.82586e-01
7.88500e+03 7.40680e-01
7.91000e+03 7.94710e-01
7.93500e+03 8.42565e-01
7.96000e+03 8.83252e-01
7.98500e+03 9.16257e-01
8.01000e+03 9.28060e-01
8.03500e+03 9.48862e-01
8.06000e+03 9.65989e-01
8.08500e+03 9.79377e-01
8.11000e+03 9.89200e-01
8.13500e+03 9.95832e-01
8.16000e+03 9.99185e-01
8.18500e+03 1.00000e+00
8.21000e+03 9.98864e-01
8.23500e+03 9.96420e-01
8.26000e+03 9.92524e-01
8.28500e+03 9.86781e-01
8.31000e+03 9.79695e-01
8.33500e+03 9.71395e-01
8.36000e+03 9.62249e-01
8.38500e+03 9.52891e-01
8.41000e+03 9.43267e-01
8.43500e+03 9.33018e-01
8.46000e+03 9.22315e-01
8.48500e+03 9.11156e-01
8.51000e+03 9.02470e-01
8.53500e+03 8.97728e-01
8.56000e+03 8.92819e-01
8.58500e+03 8.87700e-01
8.61000e+03 8.82392e-01
8.63500e+03 8.76958e-01
8.66000e+03 8.71464e-01
8.68500e+03 8.65798e-01
8.71000e+03 8.59865e-01
8.73500e+03 8.52792e-01
8.76000e+03 8.45507e-01
8.78500e+03 8.38275e-01
8.81000e+03 8.30924e-01
8.83500e+03 8.23626e-01
8.86000e+03 8.16316e-01
8.88500e+03 8.09006e-01
8.91000e+03 8.01577e-01
8.93500e+03 7.94188e-01
8.96000e+03 7.86796e-01
8.98500e+03 7.79372e-01
9.01000e+03 7.65352e-01
9.03500e+03 7.41742e-01
9.06000e+03 7.18048e-01
9.08500e+03 6.94355e-01
9.11000e+03 6.70680e-01
9.13500e+03 6.47045e-01
9.16000e+03 6.23432e-01
9.18500e+03 5.99820e-01
9.21000e+03 5.76205e-01
9.23500e+03 5.52599e-01
9.26000e+03 5.29028e-01
9.28500e+03 5.05482e-01
9.31000e+03 4.81940e-01
9.33500e+03 4.58401e-01
9.36000e+03 4.34891e-01
9.38500e+03 4.11412e-01
9.41000e+03 3.87951e-01
9.43500e+03 3.64496e-01
9.46000e+03 3.41042e-01
9.48500e+03 3.17601e-01
9.51000e+03 2.99524e-01
9.53500e+03 2.89208e-01
9.56000e+03 2.78958e-01
9.58500e+03 2.68708e-01
9.61000e+03 2.58452e-01
9.63500e+03 2.48255e-01
9.66000e+03 2.38072e-01
9.68500e+03 2.27893e-01
9.71000e+03 2.17717e-01
9.73500e+03 2.07545e-01
9.76000e+03 1.97388e-01
9.78500e+03 1.87235e-01
9.81000e+03 1.77208e-01
9.83500e+03 1.67267e-01
9.86000e+03 1.57326e-01
9.88500e+03 1.47426e-01
9.91000e+03 1.38181e-01
9.93500e+03 1.29161e-01
9.96000e+03 1.20142e-01
9.98500e+03 1.11122e-01
1.00100e+04 1.02400e-01
1.00350e+04 9.83801e-02
1.00600e+04 9.59820e-02
1.00850e+04 9.35815e-02
1.01100e+04 9.11660e-02
1.01350e+04 8.87447e-02
1.01600e+04 8.63136e-02
1.01850e+04 8.38819e-02
1.02100e+04 8.14414e-02
1.02350e+04 7.89755e-02
1.02600e+04 7.64914e-02
1.02850e+04 7.39079e-02
1.03100e+04 7.13078e-02
1.03350e+04 6.87078e-02
1.03600e+04 6.61085e-02
1.03850e+04 6.35109e-02
1.04100e+04 6.09149e-02
1.04350e+04 5.83272e-02
1.04600e+04 5.57414e-02
1.04850e+04 5.31556e-02
1.05100e+04 5.05691e-02
1.05350e+04 4.79836e-02
1.05600e+04 4.53988e-02
1.05850e+04 4.28117e-02
1.06100e+04 4.02276e-02
1.06350e+04 3.76431e-02
1.06600e+04 3.50586e-02
1.06850e+04 3.24763e-02
1.07100e+04 2.98935e-02
1.07350e+04 2.73117e-02
1.07600e+04 2.47289e-02
1.07850e+04 2.21489e-02
1.08100e+04 1.95705e-02
1.08350e+04 1.69915e-02
1.08600e+04 1.44128e-02
1.08850e+04 1.18371e-02
1.09100e+04 9.90565e-03
1.09350e+04 0.00000e+00
1.09600e+04 0.00000e+00
