# musyc-I_hdfs_tot
# photon
# from FILTER.RES.DR34.latest
7.02000e+03 0.00000e+00
7.04500e+03 0.00000e+00
7.07000e+03 1.23089e-03
7.09500e+03 1.73320e-03
7.12000e+03 2.38722e-03
7.14500e+03 3.60959e-03
7.17000e+03 6.13862e-03
7.19500e+03 1.10592e-02
7.22000e+03 2.20281e-02
7.24500e+03 4.64999e-02
7.27000e+03 1.02297e-01
7.29500e+03 2.18334e-01
7.32000e+03 4.13264e-01
7.34500e+03 6.50740e-01
7.37000e+03 8.42852e-01
7.39500e+03 9.47512e-01
7.42000e+03 9.84486e-01
7.44500e+03 9.87751e-01
7.47000e+03 9.77419e-01
7.49500e+03 9.65613e-01
7.52000e+03 9.54824e-01
7.54500e+03 9.49929e-01
7.57000e+03 9.52078e-01
7.59500e+03 9.59765e-01
7.62000e+03 9.69538e-01
7.64500e+03 9.82365e-01
7.67000e+03 9.93309e-01
7.69500e+03 9.99591e-01
7.72000e+03 1.00000e+00
7.74500e+03 9.97183e-01
7.77000e+03 9.87177e-01
7.79500e+03 9.75430e-01
7.82000e+03 9.66973e-01
7.84500e+03 9.60489e-01
7.87000e+03 9.56233e-01
7.89500e+03 9.54833e-01
7.92000e+03 9.55715e-01
7.94500e+03 9.58434e-01
7.97000e+03 9.62634e-01
7.99500e+03 9.64503e-01
8.02000e+03 9.58565e-01
8.04500e+03 9.49137e-01
8.07000e+03 9.40292e-01
8.09500e+03 9.31055e-01
8.12000e+03 9.20346e-01
8.14500e+03 9.09011e-01
8.17000e+03 9.00204e-01
8.19500e+03 8.91875e-01
8.22000e+03 8.84570e-01
8.24500e+03 8.79579e-01
8.27000e+03 8.75245e-01
8.29500e+03 8.70668e-01
8.32000e+03 8.63114e-01
8.34500e+03 8.54838e-01
8.37000e+03 8.45299e-01
8.39500e+03 8.33381e-01
8.42000e+03 8.22757e-01
8.44500e+03 8.12909e-01
8.47000e+03 8.02136e-01
8.49500e+03 7.94589e-01
8.52000e+03 7.88262e-01
8.54500e+03 7.80851e-01
8.57000e+03 7.70783e-01
8.59500e+03 7.58259e-01
8.62000e+03 7.39281e-01
8.64500e+03 7.13904e-01
8.67000e+03 6.85528e-01
8.69500e+03 6.52196e-01
8.72000e+03 6.22899e-01
8.74500e+03 5.96935e-01
8.77000e+03 5.86038e-01
8.79500e+03 5.88306e-01
8.82000e+03 5.97922e-01
8.84500e+03 6.01101e-01
8.87000e+03 5.66880e-01
8.89500e+03 4.79254e-01
8.92000e+03 3.46323e-01
8.94500e+03 2.16202e-01
8.97000e+03 1.23025e-01
8.99500e+03 6.79412e-02
9.02000e+03 3.87730e-02
9.04500e+03 2.36260e-02
9.07000e+03 1.49273e-02
9.09500e+03 9.97586e-03
9.12000e+03 6.96490e-03
9.14500e+03 5.37179e-03
9.17000e+03 4.17512e-03
9.19500e+03 3.30526e-03
9.22000e+03 2.96062e-03
9.24500e+03 2.61038e-03
9.27000e+03 2.30744e-03
9.29500e+03 1.75846e-03
9.32000e+03 2.17428e-03
9.34500e+03 2.11762e-03
9.37000e+03 2.46977e-03
9.39500e+03 3.13160e-03
9.42000e+03 0.00000e+00
9.44500e+03 0.00000e+00
