# musyc-Ja_tot.2cols
# photon
# from FILTER.RES.DR34.latest
1.03900e+04 0.00000e+00
1.04300e+04 0.00000e+00
1.04700e+04 2.45283e-03
1.05100e+04 2.60608e-03
1.05500e+04 2.81041e-03
1.05900e+04 3.01474e-03
1.06300e+04 3.21907e-03
1.06700e+04 3.42070e-03
1.07100e+04 3.61930e-03
1.07500e+04 3.81790e-03
1.07900e+04 4.01649e-03
1.08300e+04 4.21509e-03
1.08700e+04 4.41055e-03
1.09100e+04 4.59011e-03
1.09500e+04 4.76744e-03
1.09900e+04 4.94477e-03
1.10300e+04 5.12210e-03
1.10700e+04 5.29701e-03
1.11100e+04 5.26081e-03
1.11500e+04 5.08844e-03
1.11900e+04 4.91606e-03
1.12300e+04 4.88381e-03
1.12700e+04 5.31359e-03
1.13100e+04 5.74383e-03
1.13500e+04 6.06636e-03
1.13900e+04 6.36973e-03
1.14300e+04 6.34911e-03
1.14700e+04 6.77101e-03
1.15100e+04 1.72128e-02
1.15500e+04 3.76325e-02
1.15900e+04 8.27175e-02
1.16300e+04 2.08052e-01
1.16700e+04 3.55545e-01
1.17100e+04 6.02637e-01
1.17500e+04 7.86078e-01
1.17900e+04 9.13439e-01
1.18300e+04 9.67542e-01
1.18700e+04 9.69961e-01
1.19100e+04 9.77766e-01
1.19500e+04 9.92106e-01
1.19900e+04 9.93215e-01
1.20300e+04 9.75736e-01
1.20700e+04 9.62097e-01
1.21100e+04 9.52089e-01
1.21500e+04 9.49247e-01
1.21900e+04 9.54658e-01
1.22300e+04 9.75302e-01
1.22700e+04 9.88708e-01
1.23100e+04 1.00000e+00
1.23500e+04 9.94956e-01
1.23900e+04 9.80603e-01
1.24300e+04 9.72148e-01
1.24700e+04 9.70682e-01
1.25100e+04 9.75220e-01
1.25500e+04 9.74864e-01
1.25900e+04 9.68882e-01
1.26300e+04 9.59484e-01
1.26700e+04 9.53207e-01
1.27100e+04 9.74558e-01
1.27500e+04 9.89795e-01
1.27900e+04 9.95662e-01
1.28300e+04 9.93670e-01
1.28700e+04 9.89302e-01
1.29100e+04 9.76969e-01
1.29500e+04 9.60509e-01
1.29900e+04 9.32998e-01
1.30300e+04 9.07232e-01
1.30700e+04 9.04620e-01
1.31100e+04 9.05947e-01
1.31500e+04 9.05800e-01
1.31900e+04 8.72721e-01
1.32300e+04 7.15711e-01
1.32700e+04 4.62103e-01
1.33100e+04 2.05030e-01
1.33500e+04 8.91397e-02
1.33900e+04 4.69635e-02
1.34300e+04 2.43779e-02
1.34700e+04 9.93006e-03
1.35100e+04 6.19558e-03
1.35500e+04 3.15194e-03
1.35900e+04 1.73011e-03
1.36300e+04 2.71303e-03
1.36700e+04 3.15702e-03
1.37100e+04 0.00000e+00
1.37500e+04 0.00000e+00
