# musyc-K_tot
# photon
# from FILTER.RES.DR34.latest
1.39800e+04 0.00000e+00
1.40500e+04 0.00000e+00
1.41200e+04 5.44511e-05
1.41900e+04 4.81862e-05
1.42600e+04 5.05162e-05
1.43300e+04 3.21793e-05
1.44000e+04 4.84669e-05
1.44700e+04 5.02996e-05
1.45400e+04 5.36763e-05
1.46100e+04 5.56592e-05
1.46800e+04 5.26292e-05
1.47500e+04 5.39185e-05
1.48200e+04 4.69797e-05
1.48900e+04 4.69203e-05
1.49600e+04 4.58686e-05
1.50300e+04 5.62451e-05
1.51000e+04 4.64666e-05
1.51700e+04 5.48800e-05
1.52400e+04 4.79173e-05
1.53100e+04 5.44157e-05
1.53800e+04 6.14765e-05
1.54500e+04 5.69535e-05
1.55200e+04 5.90439e-05
1.55900e+04 5.76163e-05
1.56600e+04 5.19244e-05
1.57300e+04 4.30349e-05
1.58000e+04 4.43839e-05
1.58700e+04 5.87862e-05
1.59400e+04 4.84388e-05
1.60100e+04 5.45259e-05
1.60800e+04 5.02005e-05
1.61500e+04 3.93360e-05
1.62200e+04 4.87132e-05
1.62900e+04 6.26352e-05
1.63600e+04 5.87237e-05
1.64300e+04 5.70793e-05
1.65000e+04 5.70930e-05
1.65700e+04 5.26850e-05
1.66400e+04 3.78991e-05
1.67100e+04 5.58561e-05
1.67800e+04 5.91870e-05
1.68500e+04 5.39819e-05
1.69200e+04 5.29293e-05
1.69900e+04 5.01787e-05
1.70600e+04 4.97444e-05
1.71300e+04 4.41135e-05
1.72000e+04 5.28733e-05
1.72700e+04 6.32772e-05
1.73400e+04 5.28068e-05
1.74100e+04 4.25731e-05
1.74800e+04 4.01312e-05
1.75500e+04 4.76359e-05
1.76200e+04 4.67491e-05
1.76900e+04 3.55574e-05
1.77600e+04 4.35400e-05
1.78300e+04 3.95526e-05
1.79000e+04 5.25424e-05
1.79700e+04 6.39718e-05
1.80400e+04 5.03635e-05
1.81100e+04 4.83723e-05
1.81800e+04 6.27764e-05
1.82500e+04 4.83306e-05
1.83200e+04 4.65133e-05
1.83900e+04 6.59296e-05
1.84600e+04 6.13956e-05
1.85300e+04 7.11791e-05
1.86000e+04 7.73713e-05
1.86700e+04 1.32110e-04
1.87400e+04 1.97519e-04
1.88100e+04 2.86920e-04
1.88800e+04 3.98593e-04
1.89500e+04 5.58207e-04
1.90200e+04 8.41955e-04
1.90900e+04 1.44331e-03
1.91600e+04 2.95072e-03
1.92300e+04 6.90370e-03
1.93000e+04 1.55476e-02
1.93700e+04 4.10575e-02
1.94400e+04 1.07260e-01
1.95100e+04 2.28454e-01
1.95800e+04 4.02837e-01
1.96500e+04 6.48570e-01
1.97200e+04 8.27806e-01
1.97900e+04 9.28131e-01
1.98600e+04 9.52809e-01
1.99300e+04 9.24747e-01
2.00000e+04 6.52990e-01
2.00700e+04 5.24860e-01
2.01400e+04 5.91600e-01
2.02100e+04 7.33619e-01
2.02800e+04 8.95129e-01
2.03500e+04 9.36996e-01
2.04200e+04 9.28877e-01
2.04900e+04 8.44626e-01
2.05600e+04 7.60653e-01
2.06300e+04 7.90829e-01
2.07000e+04 8.35246e-01
2.07700e+04 9.20453e-01
2.08400e+04 9.56420e-01
2.09100e+04 9.65254e-01
2.09800e+04 9.72775e-01
2.10500e+04 9.80431e-01
2.11200e+04 9.84965e-01
2.11900e+04 9.89181e-01
2.12600e+04 9.94017e-01
2.13300e+04 9.98351e-01
2.14000e+04 1.00000e+00
2.14700e+04 9.98603e-01
2.15400e+04 9.98315e-01
2.16100e+04 9.96786e-01
2.16800e+04 9.97199e-01
2.17500e+04 9.96067e-01
2.18200e+04 9.92240e-01
2.18900e+04 9.84079e-01
2.19600e+04 9.71912e-01
2.20300e+04 9.54896e-01
2.21000e+04 9.40338e-01
2.21700e+04 9.29394e-01
2.22400e+04 9.24137e-01
2.23100e+04 9.27642e-01
2.23800e+04 9.39754e-01
2.24500e+04 9.57909e-01
2.25200e+04 9.74192e-01
2.25900e+04 9.84040e-01
2.26600e+04 9.88127e-01
2.27300e+04 9.74300e-01
2.28000e+04 8.99582e-01
2.28700e+04 6.93733e-01
2.29400e+04 4.09179e-01
2.30100e+04 1.90358e-01
2.30800e+04 8.14713e-02
2.31500e+04 3.51462e-02
2.32200e+04 1.62909e-02
2.32900e+04 8.26682e-03
2.33600e+04 4.52605e-03
2.34300e+04 2.55843e-03
2.35000e+04 1.54235e-03
2.35700e+04 1.05719e-03
2.36400e+04 7.72390e-04
2.37100e+04 5.27805e-04
2.37800e+04 4.06808e-04
2.38500e+04 3.38639e-04
2.39200e+04 2.61616e-04
2.39900e+04 2.47935e-04
2.40600e+04 2.03614e-04
2.41300e+04 2.06040e-04
2.42000e+04 1.90942e-04
2.42700e+04 1.53726e-04
2.43400e+04 1.43160e-04
2.44100e+04 1.41520e-04
2.44800e+04 1.27359e-04
2.45500e+04 1.54300e-04
2.46200e+04 1.52024e-04
2.46900e+04 1.50246e-04
2.47600e+04 1.66102e-04
2.48300e+04 1.07047e-04
2.49000e+04 9.02763e-05
2.49700e+04 9.98225e-05
2.50400e+04 1.15483e-04
2.51100e+04 1.13571e-04
2.51800e+04 1.12047e-04
2.52500e+04 1.02671e-04
2.53200e+04 1.24550e-04
2.53900e+04 1.06202e-04
2.54600e+04 1.27903e-04
2.55300e+04 1.01138e-04
2.56000e+04 8.46274e-05
2.56700e+04 1.07018e-04
2.57400e+04 7.85578e-05
2.58100e+04 9.50621e-05
2.58800e+04 8.21417e-05
2.59500e+04 1.05825e-04
2.60200e+04 9.12230e-05
2.60900e+04 1.27187e-04
2.61600e+04 1.25545e-04
2.62300e+04 1.24388e-04
2.63000e+04 1.08072e-04
2.63700e+04 8.95758e-05
2.64400e+04 8.86560e-05
2.65100e+04 1.12251e-04
2.65800e+04 1.12895e-04
2.66500e+04 1.33522e-04
2.67200e+04 1.17912e-04
2.67900e+04 1.05579e-04
2.68600e+04 1.26482e-04
2.69300e+04 1.15224e-04
2.70000e+04 9.36970e-05
2.70700e+04 1.09955e-04
2.71400e+04 1.00201e-04
2.72100e+04 1.09793e-04
2.72800e+04 1.11471e-04
2.73500e+04 1.11977e-04
2.74200e+04 1.00780e-04
2.74900e+04 1.17598e-04
2.75600e+04 1.25050e-04
2.76300e+04 8.46065e-05
2.77000e+04 9.85179e-05
2.77700e+04 1.19162e-04
2.78400e+04 1.06635e-04
2.79100e+04 8.97077e-05
2.79800e+04 1.13196e-04
2.80500e+04 1.08167e-04
2.81200e+04 1.35652e-04
2.81900e+04 1.29080e-04
2.82600e+04 1.10512e-04
2.83300e+04 1.41450e-04
2.84000e+04 1.15419e-04
2.84700e+04 1.37481e-04
2.85400e+04 1.32578e-04
2.86100e+04 1.54036e-04
2.86800e+04 1.89624e-04
2.87500e+04 1.35211e-04
2.88200e+04 1.54871e-04
2.88900e+04 2.13247e-04
2.89600e+04 2.37774e-04
2.90300e+04 2.24987e-04
2.91000e+04 2.59781e-04
2.91700e+04 2.76242e-04
2.92400e+04 3.62463e-04
2.93100e+04 3.39229e-04
2.93800e+04 3.71262e-04
2.94500e+04 3.37263e-04
