# musyc-Ka_tot.2cols
# photon
# from FILTER.RES.DR34.latest
1.94550e+04 0.00000e+00
1.95250e+04 0.00000e+00
1.95950e+04 9.64925e-03
1.96650e+04 1.65525e-02
1.97350e+04 5.55202e-02
1.98050e+04 1.91077e-01
1.98750e+04 4.99687e-01
1.99450e+04 8.23475e-01
2.00150e+04 5.74029e-01
2.00850e+04 5.52108e-01
2.01550e+04 6.17157e-01
2.02250e+04 8.18751e-01
2.02950e+04 9.46515e-01
2.03650e+04 9.70828e-01
2.04350e+04 9.57499e-01
2.05050e+04 8.05371e-01
2.05750e+04 7.34785e-01
2.06450e+04 7.69865e-01
2.07150e+04 8.64735e-01
2.07850e+04 9.64759e-01
2.08550e+04 9.48097e-01
2.09250e+04 9.16595e-01
2.09950e+04 8.96957e-01
2.10650e+04 9.03970e-01
2.11350e+04 9.06889e-01
2.12050e+04 9.02166e-01
2.12750e+04 9.01911e-01
2.13450e+04 9.29135e-01
2.14150e+04 9.62708e-01
2.14850e+04 9.95323e-01
2.15550e+04 1.00000e+00
2.16250e+04 9.80456e-01
2.16950e+04 9.59301e-01
2.17650e+04 9.61335e-01
2.18350e+04 9.77598e-01
2.19050e+04 9.95668e-01
2.19750e+04 9.93821e-01
2.20450e+04 9.65242e-01
2.21150e+04 9.41040e-01
2.21850e+04 9.23263e-01
2.22550e+04 9.20652e-01
2.23250e+04 9.32022e-01
2.23950e+04 9.49959e-01
2.24650e+04 9.77488e-01
2.25350e+04 9.96338e-01
2.26050e+04 9.78373e-01
2.26750e+04 9.35270e-01
2.27450e+04 8.98644e-01
2.28150e+04 9.18172e-01
2.28850e+04 9.33972e-01
2.29550e+04 7.88159e-01
2.30250e+04 6.00630e-01
2.30950e+04 4.86534e-01
2.31650e+04 3.19373e-01
2.32350e+04 1.34666e-01
2.33050e+04 3.44202e-02
2.33750e+04 1.33364e-02
2.34450e+04 7.11049e-03
2.35150e+04 6.01630e-03
2.35850e+04 6.05622e-03
2.36550e+04 0.00000e+00
2.37250e+04 0.00000e+00
