# musyc-R_1030_tot
# photon
# from FILTER.RES.DR34.latest
5.49500e+03 0.00000e+00
5.51500e+03 0.00000e+00
5.53500e+03 8.31409e-03
5.55500e+03 1.53898e-02
5.57500e+03 3.35439e-02
5.59500e+03 6.74238e-02
5.61500e+03 1.23219e-01
5.63500e+03 2.03179e-01
5.65500e+03 3.01937e-01
5.67500e+03 4.10989e-01
5.69500e+03 5.19608e-01
5.71500e+03 6.18028e-01
5.73500e+03 7.01927e-01
5.75500e+03 7.71404e-01
5.77500e+03 8.26818e-01
5.79500e+03 8.70602e-01
5.81500e+03 9.04796e-01
5.83500e+03 9.32155e-01
5.85500e+03 9.52944e-01
5.87500e+03 9.67752e-01
5.89500e+03 9.78432e-01
5.91500e+03 9.86023e-01
5.93500e+03 9.92083e-01
5.95500e+03 9.95689e-01
5.97500e+03 9.98351e-01
5.99500e+03 1.00000e+00
6.01500e+03 9.95841e-01
6.03500e+03 9.91204e-01
6.05500e+03 9.87887e-01
6.07500e+03 9.83656e-01
6.09500e+03 9.78924e-01
6.11500e+03 9.73977e-01
6.13500e+03 9.67815e-01
6.15500e+03 9.62197e-01
6.17500e+03 9.56523e-01
6.19500e+03 9.50734e-01
6.21500e+03 9.45492e-01
6.23500e+03 9.39631e-01
6.25500e+03 9.34017e-01
6.27500e+03 9.26469e-01
6.29500e+03 9.19109e-01
6.31500e+03 9.10933e-01
6.33500e+03 9.02869e-01
6.35500e+03 8.94514e-01
6.37500e+03 8.86677e-01
6.39500e+03 8.79297e-01
6.41500e+03 8.71081e-01
6.43500e+03 8.63271e-01
6.45500e+03 8.55117e-01
6.47500e+03 8.46287e-01
6.49500e+03 8.36583e-01
6.51500e+03 8.26998e-01
6.53500e+03 8.18302e-01
6.55500e+03 8.08629e-01
6.57500e+03 7.98912e-01
6.59500e+03 7.89111e-01
6.61500e+03 7.79241e-01
6.63500e+03 7.69443e-01
6.65500e+03 7.59928e-01
6.67500e+03 7.49533e-01
6.69500e+03 7.39119e-01
6.71500e+03 7.29179e-01
6.73500e+03 7.18644e-01
6.75500e+03 7.08301e-01
6.77500e+03 6.97120e-01
6.79500e+03 6.85661e-01
6.81500e+03 6.74576e-01
6.83500e+03 6.62183e-01
6.85500e+03 6.49573e-01
6.87500e+03 6.37807e-01
6.89500e+03 6.26105e-01
6.91500e+03 6.14844e-01
6.93500e+03 6.02646e-01
6.95500e+03 5.90888e-01
6.97500e+03 5.78801e-01
6.99500e+03 5.66419e-01
7.01500e+03 5.54498e-01
7.03500e+03 5.42545e-01
7.05500e+03 5.30827e-01
7.07500e+03 5.19046e-01
7.09500e+03 5.07887e-01
7.11500e+03 4.96666e-01
7.13500e+03 4.85229e-01
7.15500e+03 4.74653e-01
7.17500e+03 4.62958e-01
7.19500e+03 4.51960e-01
7.21500e+03 4.41220e-01
7.23500e+03 4.30361e-01
7.25500e+03 4.20308e-01
7.27500e+03 4.09189e-01
7.29500e+03 3.98875e-01
7.31500e+03 3.88649e-01
7.33500e+03 3.78749e-01
7.35500e+03 3.68732e-01
7.37500e+03 3.58279e-01
7.39500e+03 3.48328e-01
7.41500e+03 3.38613e-01
7.43500e+03 3.29454e-01
7.45500e+03 3.20282e-01
7.47500e+03 3.10913e-01
7.49500e+03 3.02028e-01
7.51500e+03 2.93250e-01
7.53500e+03 2.84628e-01
7.55500e+03 2.75787e-01
7.57500e+03 2.67844e-01
7.59500e+03 2.59427e-01
7.61500e+03 2.51365e-01
7.63500e+03 2.43472e-01
7.65500e+03 2.35220e-01
7.67500e+03 2.27807e-01
7.69500e+03 2.19894e-01
7.71500e+03 2.12729e-01
7.73500e+03 2.05422e-01
