# musyc-R_cdfs_tot
# photon
# from FILTER.RES.DR34.latest
5.52500e+03 0.00000e+00
5.54500e+03 0.00000e+00
5.56500e+03 1.60347e-02
5.58500e+03 3.38939e-02
5.60500e+03 7.49242e-02
5.62500e+03 1.38353e-01
5.64500e+03 2.19319e-01
5.66500e+03 3.08960e-01
5.68500e+03 3.96922e-01
5.70500e+03 4.83724e-01
5.72500e+03 5.71117e-01
5.74500e+03 6.48916e-01
5.76500e+03 7.07999e-01
5.78500e+03 7.44922e-01
5.80500e+03 7.65607e-01
5.82500e+03 7.80336e-01
5.84500e+03 7.98101e-01
5.86500e+03 8.24537e-01
5.88500e+03 8.58815e-01
5.90500e+03 8.93922e-01
5.92500e+03 9.24255e-01
5.94500e+03 9.44505e-01
5.96500e+03 9.53491e-01
5.98500e+03 9.56386e-01
6.00500e+03 9.59184e-01
6.02500e+03 9.64348e-01
6.04500e+03 9.71382e-01
6.06500e+03 9.76757e-01
6.08500e+03 9.76082e-01
6.10500e+03 9.67011e-01
6.12500e+03 9.53263e-01
6.14500e+03 9.38335e-01
6.16500e+03 9.29429e-01
6.18500e+03 9.28743e-01
6.20500e+03 9.38729e-01
6.22500e+03 9.55756e-01
6.24500e+03 9.74884e-01
6.26500e+03 9.90393e-01
6.28500e+03 9.99145e-01
6.30500e+03 1.00000e+00
6.32500e+03 9.95373e-01
6.34500e+03 9.89385e-01
6.36500e+03 9.84133e-01
6.38500e+03 9.81465e-01
6.40500e+03 9.80895e-01
6.42500e+03 9.80370e-01
6.44500e+03 9.77685e-01
6.46500e+03 9.72477e-01
6.48500e+03 9.64766e-01
6.50500e+03 9.55762e-01
6.52500e+03 9.46781e-01
6.54500e+03 9.41919e-01
6.56500e+03 9.41892e-01
6.58500e+03 9.47206e-01
6.60500e+03 9.55612e-01
6.62500e+03 9.64947e-01
6.64500e+03 9.72551e-01
6.66500e+03 9.75893e-01
6.68500e+03 9.75521e-01
6.70500e+03 9.71305e-01
6.72500e+03 9.65251e-01
6.74500e+03 9.58818e-01
6.76500e+03 9.52575e-01
6.78500e+03 9.48338e-01
6.80500e+03 9.44990e-01
6.82500e+03 9.43081e-01
6.84500e+03 9.41052e-01
6.86500e+03 9.39089e-01
6.88500e+03 9.35695e-01
6.90500e+03 9.31898e-01
6.92500e+03 9.26902e-01
6.94500e+03 9.21763e-01
6.96500e+03 9.16815e-01
6.98500e+03 9.11951e-01
7.00500e+03 9.06713e-01
7.02500e+03 9.01063e-01
7.04500e+03 8.95427e-01
7.06500e+03 8.88639e-01
7.08500e+03 8.81561e-01
7.10500e+03 8.74263e-01
7.12500e+03 8.66650e-01
7.14500e+03 8.58844e-01
7.16500e+03 8.49289e-01
7.18500e+03 8.37388e-01
7.20500e+03 8.19937e-01
7.22500e+03 7.92586e-01
7.24500e+03 7.50488e-01
7.26500e+03 6.90264e-01
7.28500e+03 6.13086e-01
7.30500e+03 5.25943e-01
7.32500e+03 4.36443e-01
7.34500e+03 3.53179e-01
7.36500e+03 2.78599e-01
7.38500e+03 2.16499e-01
7.40500e+03 1.67910e-01
7.42500e+03 1.30592e-01
7.44500e+03 1.00170e-01
7.46500e+03 7.66870e-02
7.48500e+03 5.88777e-02
7.50500e+03 4.55246e-02
7.52500e+03 3.55378e-02
7.54500e+03 2.80029e-02
7.56500e+03 2.23027e-02
7.58500e+03 1.78442e-02
7.60500e+03 1.44209e-02
7.62500e+03 1.18213e-02
7.64500e+03 9.76730e-03
7.66500e+03 8.07240e-03
7.68500e+03 6.69558e-03
7.70500e+03 5.59829e-03
7.72500e+03 4.71422e-03
7.74500e+03 3.99202e-03
7.76500e+03 3.40857e-03
7.78500e+03 2.92427e-03
7.80500e+03 2.51510e-03
7.82500e+03 2.16368e-03
7.84500e+03 1.88615e-03
7.86500e+03 1.64521e-03
7.88500e+03 1.43389e-03
7.90500e+03 1.26523e-03
7.92500e+03 1.12602e-03
7.94500e+03 1.00489e-03
7.96500e+03 9.00727e-04
7.98500e+03 8.69249e-04
8.00500e+03 8.65312e-04
8.02500e+03 8.36188e-04
8.04500e+03 7.81875e-04
8.06500e+03 7.27562e-04
8.08500e+03 6.83848e-04
8.10500e+03 6.50734e-04
8.12500e+03 6.17619e-04
8.14500e+03 5.84505e-04
8.16500e+03 5.51391e-04
8.18500e+03 5.20882e-04
8.20500e+03 4.96740e-04
8.22500e+03 4.72888e-04
8.24500e+03 4.49036e-04
8.26500e+03 4.25184e-04
8.28500e+03 4.01332e-04
8.30500e+03 3.83443e-04
8.32500e+03 0.00000e+00
8.34500e+03 0.00000e+00
