# musyc-U_1030_tot
# photon
# from FILTER.RES.DR34.latest
3.01500e+03 0.00000e+00
3.02500e+03 0.00000e+00
3.03500e+03 7.79410e-03
3.04500e+03 1.19733e-02
3.05500e+03 1.90758e-02
3.06500e+03 2.80124e-02
3.07500e+03 3.85073e-02
3.08500e+03 5.02535e-02
3.09500e+03 6.37832e-02
3.10500e+03 8.04522e-02
3.11500e+03 1.00832e-01
3.12500e+03 1.24325e-01
3.13500e+03 1.48436e-01
3.14500e+03 1.72066e-01
3.15500e+03 1.96006e-01
3.16500e+03 2.22946e-01
3.17500e+03 2.54365e-01
3.18500e+03 2.90392e-01
3.19500e+03 3.28641e-01
3.20500e+03 3.56154e-01
3.21500e+03 3.71419e-01
3.22500e+03 3.86019e-01
3.23500e+03 4.00224e-01
3.24500e+03 4.12729e-01
3.25500e+03 4.22968e-01
3.26500e+03 4.30985e-01
3.27500e+03 4.39033e-01
3.28500e+03 4.48391e-01
3.29500e+03 4.59342e-01
3.30500e+03 4.76863e-01
3.31500e+03 5.00566e-01
3.32500e+03 5.23442e-01
3.33500e+03 5.43617e-01
3.34500e+03 5.54101e-01
3.35500e+03 5.56152e-01
3.36500e+03 5.57911e-01
3.37500e+03 5.63686e-01
3.38500e+03 5.74730e-01
3.39500e+03 5.90837e-01
3.40500e+03 6.10521e-01
3.41500e+03 6.32682e-01
3.42500e+03 6.53677e-01
3.43500e+03 6.72958e-01
3.44500e+03 6.90638e-01
3.45500e+03 7.07026e-01
3.46500e+03 7.23960e-01
3.47500e+03 7.41806e-01
3.48500e+03 7.59743e-01
3.49500e+03 7.77296e-01
3.50500e+03 7.92611e-01
3.51500e+03 8.05421e-01
3.52500e+03 8.16838e-01
3.53500e+03 8.27384e-01
3.54500e+03 8.37000e-01
3.55500e+03 8.47177e-01
3.56500e+03 8.57730e-01
3.57500e+03 8.67803e-01
3.58500e+03 8.78337e-01
3.59500e+03 8.88527e-01
3.60500e+03 9.02693e-01
3.61500e+03 9.19364e-01
3.62500e+03 9.33862e-01
3.63500e+03 9.46399e-01
3.64500e+03 9.56973e-01
3.65500e+03 9.66909e-01
3.66500e+03 9.78358e-01
3.67500e+03 9.88300e-01
3.68500e+03 9.96284e-01
3.69500e+03 1.00000e+00
3.70500e+03 9.99408e-01
3.71500e+03 9.94451e-01
3.72500e+03 9.84945e-01
3.73500e+03 9.73781e-01
3.74500e+03 9.61538e-01
3.75500e+03 9.47152e-01
3.76500e+03 9.30351e-01
3.77500e+03 9.08906e-01
3.78500e+03 8.83526e-01
3.79500e+03 8.53870e-01
3.80500e+03 8.20389e-01
3.81500e+03 7.82234e-01
3.82500e+03 7.41216e-01
3.83500e+03 6.99240e-01
3.84500e+03 6.55382e-01
3.85500e+03 6.11318e-01
3.86500e+03 5.68064e-01
3.87500e+03 5.25103e-01
3.88500e+03 4.83765e-01
3.89500e+03 4.44245e-01
3.90500e+03 4.07343e-01
3.91500e+03 3.70256e-01
3.92500e+03 3.35290e-01
3.93500e+03 3.02348e-01
3.94500e+03 2.72170e-01
3.95500e+03 2.42632e-01
3.96500e+03 2.14253e-01
3.97500e+03 1.86859e-01
3.98500e+03 1.61313e-01
3.99500e+03 1.39196e-01
4.00500e+03 1.19377e-01
4.01500e+03 1.00930e-01
4.02500e+03 8.45780e-02
4.03500e+03 6.94302e-02
4.04500e+03 5.66713e-02
4.05500e+03 4.51007e-02
4.06500e+03 3.64899e-02
4.07500e+03 2.89042e-02
4.08500e+03 2.24794e-02
4.09500e+03 1.80726e-02
4.10500e+03 1.32287e-02
4.11500e+03 1.02740e-02
4.12500e+03 8.23081e-03
4.13500e+03 6.65994e-03
4.14500e+03 5.72828e-03
4.15500e+03 4.64459e-03
4.16500e+03 3.72636e-03
4.17500e+03 3.13639e-03
4.18500e+03 2.99085e-03
4.19500e+03 2.96171e-03
4.20500e+03 2.75701e-03
4.21500e+03 1.86195e-03
4.22500e+03 1.23480e-03
4.23500e+03 2.25048e-03
4.24500e+03 1.98408e-03
4.25500e+03 2.07074e-03
4.26500e+03 1.05771e-03
4.27500e+03 1.02778e-03
4.28500e+03 1.72120e-03
4.29500e+03 1.09711e-03
4.30500e+03 8.16582e-04
4.31500e+03 5.54069e-04
4.32500e+03 1.10423e-03
4.33500e+03 1.43589e-03
4.34500e+03 8.47889e-04
4.35500e+03 3.73576e-04
4.36500e+03 2.59532e-04
4.37500e+03 5.41251e-04
4.38500e+03 5.80893e-04
4.39500e+03 1.30987e-03
4.40500e+03 2.15518e-03
4.41500e+03 9.04846e-04
4.42500e+03 8.80239e-04
4.43500e+03 9.03001e-04
4.44500e+03 1.14170e-03
4.45500e+03 8.58222e-04
4.46500e+03 1.08809e-03
4.47500e+03 7.06804e-04
4.48500e+03 4.99953e-04
4.49500e+03 6.50813e-04
4.50500e+03 1.21471e-03
4.51500e+03 8.29655e-04
4.52500e+03 1.43037e-03
4.53500e+03 1.21164e-03
4.54500e+03 1.38178e-03
4.55500e+03 5.13078e-04
4.56500e+03 5.95559e-04
4.57500e+03 5.30398e-04
4.58500e+03 8.00279e-04
4.59500e+03 1.45068e-03
4.60500e+03 4.19533e-04
4.61500e+03 1.13945e-03
4.62500e+03 9.41559e-04
4.63500e+03 1.45176e-03
4.64500e+03 4.73745e-04
4.65500e+03 1.97343e-04
4.66500e+03 3.48347e-04
4.67500e+03 9.88869e-04
4.68500e+03 9.70477e-04
4.69500e+03 4.01184e-04
4.70500e+03 3.35019e-04
4.71500e+03 8.33137e-04
4.72500e+03 0.00000e+00
4.73500e+03 0.00000e+00
