# musyc-V_1255_tot
# photon
# from FILTER.RES.DR34.latest
4.63500e+03 0.00000e+00
4.65000e+03 0.00000e+00
4.66500e+03 1.28548e-03
4.68000e+03 3.92392e-04
4.69500e+03 2.03914e-03
4.71000e+03 2.56006e-03
4.72500e+03 3.29602e-03
4.74000e+03 5.26076e-03
4.75500e+03 8.85926e-03
4.77000e+03 1.50549e-02
4.78500e+03 2.64401e-02
4.80000e+03 4.47630e-02
4.81500e+03 7.40086e-02
4.83000e+03 1.17315e-01
4.84500e+03 1.79908e-01
4.86000e+03 2.57862e-01
4.87500e+03 3.32675e-01
4.89000e+03 4.23400e-01
4.90500e+03 5.15629e-01
4.92000e+03 5.96311e-01
4.93500e+03 6.66326e-01
4.95000e+03 7.27960e-01
4.96500e+03 7.77963e-01
4.98000e+03 8.19278e-01
4.99500e+03 8.52876e-01
5.01000e+03 8.80802e-01
5.02500e+03 9.04099e-01
5.04000e+03 9.21694e-01
5.05500e+03 9.36229e-01
5.07000e+03 9.48850e-01
5.08500e+03 9.58738e-01
5.10000e+03 9.66680e-01
5.11500e+03 9.72372e-01
5.13000e+03 9.78041e-01
5.14500e+03 9.83069e-01
5.16000e+03 9.87660e-01
5.17500e+03 9.90681e-01
5.19000e+03 9.93628e-01
5.20500e+03 9.95324e-01
5.22000e+03 9.98009e-01
5.23500e+03 1.00000e+00
5.25000e+03 9.98067e-01
5.26500e+03 9.98702e-01
5.28000e+03 9.98465e-01
5.29500e+03 9.96291e-01
5.31000e+03 9.93394e-01
5.32500e+03 9.91611e-01
5.34000e+03 9.88745e-01
5.35500e+03 9.86251e-01
5.37000e+03 9.82140e-01
5.38500e+03 9.77037e-01
5.40000e+03 9.73487e-01
5.41500e+03 9.66826e-01
5.43000e+03 9.60888e-01
5.44500e+03 9.54141e-01
5.46000e+03 9.47068e-01
5.47500e+03 9.39750e-01
5.49000e+03 9.31108e-01
5.50500e+03 9.21160e-01
5.52000e+03 9.10228e-01
5.53500e+03 8.98624e-01
5.55000e+03 8.85495e-01
5.56500e+03 8.75555e-01
5.58000e+03 8.61982e-01
5.59500e+03 8.48043e-01
5.61000e+03 8.32354e-01
5.62500e+03 8.17778e-01
5.64000e+03 8.02194e-01
5.65500e+03 7.86524e-01
5.67000e+03 7.68454e-01
5.68500e+03 7.50093e-01
5.70000e+03 7.32379e-01
5.71500e+03 7.13626e-01
5.73000e+03 6.93990e-01
5.74500e+03 6.74466e-01
5.76000e+03 6.55479e-01
5.77500e+03 6.33787e-01
5.79000e+03 6.14649e-01
5.80500e+03 5.93581e-01
5.82000e+03 5.72705e-01
5.83500e+03 5.55227e-01
5.85000e+03 5.31676e-01
5.86500e+03 5.10551e-01
5.88000e+03 4.88889e-01
5.89500e+03 4.69735e-01
5.91000e+03 4.48660e-01
5.92500e+03 4.25879e-01
5.94000e+03 4.04909e-01
5.95500e+03 3.85025e-01
5.97000e+03 3.65243e-01
5.98500e+03 3.44491e-01
6.00000e+03 3.24765e-01
6.01500e+03 3.05277e-01
6.03000e+03 2.86735e-01
6.04500e+03 2.67768e-01
6.06000e+03 2.49534e-01
6.07500e+03 2.32219e-01
6.09000e+03 2.16761e-01
6.10500e+03 2.01713e-01
6.12000e+03 1.87744e-01
6.13500e+03 1.73564e-01
6.15000e+03 1.59613e-01
6.16500e+03 1.47856e-01
6.18000e+03 1.35900e-01
6.19500e+03 1.24805e-01
6.21000e+03 1.13993e-01
6.22500e+03 1.04000e-01
6.24000e+03 9.44072e-02
6.25500e+03 8.60905e-02
6.27000e+03 7.85983e-02
6.28500e+03 7.11354e-02
6.30000e+03 6.38146e-02
6.31500e+03 5.76170e-02
6.33000e+03 5.22495e-02
6.34500e+03 4.67894e-02
6.36000e+03 4.16788e-02
6.37500e+03 3.72345e-02
6.39000e+03 3.32587e-02
6.40500e+03 2.94690e-02
6.42000e+03 2.60611e-02
6.43500e+03 2.32531e-02
6.45000e+03 2.05906e-02
6.46500e+03 1.78749e-02
6.48000e+03 1.56502e-02
6.49500e+03 1.40362e-02
6.51000e+03 1.25419e-02
6.52500e+03 1.03709e-02
6.54000e+03 9.21664e-03
6.55500e+03 7.63509e-03
6.57000e+03 6.71910e-03
6.58500e+03 6.00251e-03
6.60000e+03 5.01874e-03
6.61500e+03 4.41615e-03
6.63000e+03 3.21723e-03
6.64500e+03 3.35865e-03
6.66000e+03 2.36352e-03
6.67500e+03 2.18346e-03
6.69000e+03 0.00000e+00
6.70500e+03 0.00000e+00
