# musyc-V_cdfs_tot
# photon
# from FILTER.RES.DR34.latest
4.79500e+03 0.00000e+00
4.81000e+03 0.00000e+00
4.82500e+03 9.58347e-03
4.84000e+03 2.13925e-02
4.85500e+03 5.06288e-02
4.87000e+03 9.82048e-02
4.88500e+03 1.62685e-01
4.90000e+03 2.36824e-01
4.91500e+03 3.14749e-01
4.93000e+03 3.93321e-01
4.94500e+03 4.72125e-01
4.96000e+03 5.49595e-01
4.97500e+03 6.25676e-01
4.99000e+03 6.98159e-01
5.00500e+03 7.62863e-01
5.02000e+03 8.15366e-01
5.03500e+03 8.52653e-01
5.05000e+03 8.75009e-01
5.06500e+03 8.86397e-01
5.08000e+03 8.89615e-01
5.09500e+03 8.90099e-01
5.11000e+03 8.92249e-01
5.12500e+03 8.98963e-01
5.14000e+03 9.11205e-01
5.15500e+03 9.28020e-01
5.17000e+03 9.48234e-01
5.18500e+03 9.68305e-01
5.20000e+03 9.85298e-01
5.21500e+03 9.96266e-01
5.23000e+03 1.00000e+00
5.24500e+03 9.96458e-01
5.26000e+03 9.88043e-01
5.27500e+03 9.76245e-01
5.29000e+03 9.63217e-01
5.30500e+03 9.51233e-01
5.32000e+03 9.41827e-01
5.33500e+03 9.35593e-01
5.35000e+03 9.32537e-01
5.36500e+03 9.31542e-01
5.38000e+03 9.31904e-01
5.39500e+03 9.32611e-01
5.41000e+03 9.32740e-01
5.42500e+03 9.31907e-01
5.44000e+03 9.29347e-01
5.45500e+03 9.25222e-01
5.47000e+03 9.19555e-01
5.48500e+03 9.12601e-01
5.50000e+03 9.03744e-01
5.51500e+03 8.93728e-01
5.53000e+03 8.82620e-01
5.54500e+03 8.70326e-01
5.56000e+03 8.57515e-01
5.57500e+03 8.43974e-01
5.59000e+03 8.29990e-01
5.60500e+03 8.15966e-01
5.62000e+03 8.01292e-01
5.63500e+03 7.85817e-01
5.65000e+03 7.68967e-01
5.66500e+03 7.50416e-01
5.68000e+03 7.30466e-01
5.69500e+03 7.10245e-01
5.71000e+03 6.87247e-01
5.72500e+03 6.63344e-01
5.74000e+03 6.39110e-01
5.75500e+03 6.14916e-01
5.77000e+03 5.91570e-01
5.78500e+03 5.69484e-01
5.80000e+03 5.49197e-01
5.81500e+03 5.32072e-01
5.83000e+03 5.19208e-01
5.84500e+03 5.07757e-01
5.86000e+03 4.83220e-01
5.87500e+03 4.16036e-01
5.89000e+03 2.96174e-01
5.90500e+03 1.74359e-01
5.92000e+03 8.79242e-02
5.93500e+03 4.01295e-02
5.95000e+03 1.84081e-02
5.96500e+03 1.03423e-02
5.98000e+03 0.00000e+00
5.99500e+03 0.00000e+00
