# musyc-o3_hdfs_tot
# photon
# from FILTER.RES.DR34.latest
4.29500e+03 0.00000e+00
4.31000e+03 0.00000e+00
4.32500e+03 5.80204e-04
4.34000e+03 5.82262e-04
4.35500e+03 5.85012e-04
4.37000e+03 5.87763e-04
4.38500e+03 5.90486e-04
4.40000e+03 5.93210e-04
4.41500e+03 5.95940e-04
4.43000e+03 5.98677e-04
4.44500e+03 6.01419e-04
4.46000e+03 6.04172e-04
4.47500e+03 6.07025e-04
4.49000e+03 6.09925e-04
4.50500e+03 6.12722e-04
4.52000e+03 3.09469e-04
4.53500e+03 1.48292e-04
4.55000e+03 2.54704e-04
4.56500e+03 2.61157e-04
4.58000e+03 4.23991e-04
4.59500e+03 9.84592e-05
4.61000e+03 8.98519e-05
4.62500e+03 2.17801e-05
4.64000e+03 2.11273e-04
4.65500e+03 1.21868e-04
4.67000e+03 6.40688e-05
4.68500e+03 2.43686e-04
4.70000e+03 2.05950e-04
4.71500e+03 2.16770e-04
4.73000e+03 8.38042e-05
4.74500e+03 4.93583e-05
4.76000e+03 9.17566e-05
4.77500e+03 1.16076e-04
4.79000e+03 9.43385e-05
4.80500e+03 2.93841e-05
4.82000e+03 3.68519e-05
4.83500e+03 1.20750e-04
4.85000e+03 2.59612e-05
4.86500e+03 0.00000e+00
4.88000e+03 2.69127e-05
4.89500e+03 2.01915e-04
4.91000e+03 5.30033e-04
4.92500e+03 1.91807e-03
4.94000e+03 8.01074e-03
4.95500e+03 6.99047e-02
4.97000e+03 4.06733e-01
4.98500e+03 8.34233e-01
5.00000e+03 1.00000e+00
5.01500e+03 7.82892e-01
5.03000e+03 3.15982e-01
5.04500e+03 7.55405e-02
5.06000e+03 1.22566e-02
5.07500e+03 1.46005e-03
5.09000e+03 6.86649e-05
5.10500e+03 1.12753e-04
5.12000e+03 1.69611e-04
5.13500e+03 5.51491e-05
5.15000e+03 1.57691e-06
5.16500e+03 3.51659e-04
5.18000e+03 1.04727e-04
5.19500e+03 2.12537e-04
5.21000e+03 1.17221e-04
5.22500e+03 7.75959e-05
5.24000e+03 6.96943e-05
5.25500e+03 9.80006e-05
5.27000e+03 1.88517e-04
5.28500e+03 3.06023e-04
5.30000e+03 6.24810e-04
5.31500e+03 1.13522e-04
5.33000e+03 1.08062e-04
5.34500e+03 1.30178e-05
5.36000e+03 5.87972e-05
5.37500e+03 1.57288e-04
5.39000e+03 2.24652e-04
5.40500e+03 0.00000e+00
5.42000e+03 0.00000e+00
