# musyc-z_hdfs_tot
# photon
# from FILTER.RES.DR34.latest
7.79500e+03 0.00000e+00
7.82500e+03 0.00000e+00
7.85500e+03 5.02866e-03
7.88500e+03 6.49491e-03
7.91500e+03 9.27317e-03
7.94500e+03 1.33320e-02
7.97500e+03 2.05222e-02
8.00500e+03 3.00829e-02
8.03500e+03 4.31333e-02
8.06500e+03 6.19439e-02
8.09500e+03 8.72201e-02
8.12500e+03 1.21871e-01
8.15500e+03 1.66208e-01
8.18500e+03 2.19903e-01
8.21500e+03 2.83398e-01
8.24500e+03 3.54033e-01
8.27500e+03 4.30144e-01
8.30500e+03 5.08589e-01
8.33500e+03 5.85303e-01
8.36500e+03 6.57345e-01
8.39500e+03 7.23187e-01
8.42500e+03 7.83864e-01
8.45500e+03 8.35153e-01
8.48500e+03 8.83430e-01
8.51500e+03 9.19808e-01
8.54500e+03 9.47522e-01
8.57500e+03 9.67224e-01
8.60500e+03 9.84111e-01
8.63500e+03 9.91893e-01
8.66500e+03 9.98253e-01
8.69500e+03 1.00000e+00
8.72500e+03 9.92078e-01
8.75500e+03 9.83912e-01
8.78500e+03 9.78690e-01
8.81500e+03 9.65989e-01
8.84500e+03 9.54123e-01
8.87500e+03 9.39180e-01
8.90500e+03 9.23803e-01
8.93500e+03 9.09448e-01
8.96500e+03 8.93110e-01
8.99500e+03 8.77947e-01
9.02500e+03 8.60705e-01
9.05500e+03 8.43559e-01
9.08500e+03 8.26038e-01
9.11500e+03 8.07193e-01
9.14500e+03 7.89218e-01
9.17500e+03 7.70003e-01
9.20500e+03 7.49927e-01
9.23500e+03 7.29976e-01
9.26500e+03 7.10469e-01
9.29500e+03 6.91545e-01
9.32500e+03 6.72145e-01
9.35500e+03 6.51258e-01
9.38500e+03 6.30263e-01
9.41500e+03 6.09031e-01
9.44500e+03 5.88195e-01
9.47500e+03 5.70279e-01
9.50500e+03 5.50748e-01
9.53500e+03 5.31612e-01
9.56500e+03 5.16788e-01
9.59500e+03 4.95428e-01
9.62500e+03 4.78007e-01
9.65500e+03 4.60460e-01
9.68500e+03 4.39809e-01
9.71500e+03 4.20068e-01
9.74500e+03 4.01447e-01
9.77500e+03 3.82110e-01
9.80500e+03 3.64093e-01
9.83500e+03 3.43832e-01
9.86500e+03 3.26796e-01
9.89500e+03 3.07174e-01
9.92500e+03 2.89047e-01
9.95500e+03 2.69203e-01
9.98500e+03 2.50832e-01
1.00150e+04 2.36593e-01
1.00450e+04 2.25320e-01
1.00750e+04 2.16766e-01
1.01050e+04 2.05527e-01
1.01350e+04 1.95678e-01
1.01650e+04 1.85203e-01
1.01950e+04 1.74097e-01
1.02250e+04 1.63713e-01
1.02550e+04 1.52771e-01
1.02850e+04 1.42097e-01
1.03150e+04 1.31316e-01
1.03450e+04 1.21157e-01
1.03750e+04 1.10365e-01
1.04050e+04 9.87375e-02
1.04350e+04 8.80920e-02
1.04650e+04 7.81973e-02
1.04950e+04 6.69608e-02
1.05250e+04 5.67502e-02
1.05550e+04 4.72852e-02
1.05850e+04 3.72330e-02
1.06150e+04 2.79378e-02
1.06450e+04 2.05664e-02
1.06750e+04 0.00000e+00
1.07050e+04 0.00000e+00
