# tophat_350_1900
# photon
# from FILTER.RES.DR34.latest
1.72400e+03 0.00000e+00
1.72600e+03 1.00000e+00
1.72800e+03 1.00000e+00
1.73000e+03 1.00000e+00
1.73200e+03 1.00000e+00
1.73400e+03 1.00000e+00
1.73600e+03 1.00000e+00
1.73800e+03 1.00000e+00
1.74000e+03 1.00000e+00
1.74200e+03 1.00000e+00
1.74400e+03 1.00000e+00
1.74600e+03 1.00000e+00
1.74800e+03 1.00000e+00
1.75000e+03 1.00000e+00
1.75200e+03 1.00000e+00
1.75400e+03 1.00000e+00
1.75600e+03 1.00000e+00
1.75800e+03 1.00000e+00
1.76000e+03 1.00000e+00
1.76200e+03 1.00000e+00
1.76400e+03 1.00000e+00
1.76600e+03 1.00000e+00
1.76800e+03 1.00000e+00
1.77000e+03 1.00000e+00
1.77200e+03 1.00000e+00
1.77400e+03 1.00000e+00
1.77600e+03 1.00000e+00
1.77800e+03 1.00000e+00
1.78000e+03 1.00000e+00
1.78200e+03 1.00000e+00
1.78400e+03 1.00000e+00
1.78600e+03 1.00000e+00
1.78800e+03 1.00000e+00
1.79000e+03 1.00000e+00
1.79200e+03 1.00000e+00
1.79400e+03 1.00000e+00
1.79600e+03 1.00000e+00
1.79800e+03 1.00000e+00
1.80000e+03 1.00000e+00
1.80200e+03 1.00000e+00
1.80400e+03 1.00000e+00
1.80600e+03 1.00000e+00
1.80800e+03 1.00000e+00
1.81000e+03 1.00000e+00
1.81200e+03 1.00000e+00
1.81400e+03 1.00000e+00
1.81600e+03 1.00000e+00
1.81800e+03 1.00000e+00
1.82000e+03 1.00000e+00
1.82200e+03 1.00000e+00
1.82400e+03 1.00000e+00
1.82600e+03 1.00000e+00
1.82800e+03 1.00000e+00
1.83000e+03 1.00000e+00
1.83200e+03 1.00000e+00
1.83400e+03 1.00000e+00
1.83600e+03 1.00000e+00
1.83800e+03 1.00000e+00
1.84000e+03 1.00000e+00
1.84200e+03 1.00000e+00
1.84400e+03 1.00000e+00
1.84600e+03 1.00000e+00
1.84800e+03 1.00000e+00
1.85000e+03 1.00000e+00
1.85200e+03 1.00000e+00
1.85400e+03 1.00000e+00
1.85600e+03 1.00000e+00
1.85800e+03 1.00000e+00
1.86000e+03 1.00000e+00
1.86200e+03 1.00000e+00
1.86400e+03 1.00000e+00
1.86600e+03 1.00000e+00
1.86800e+03 1.00000e+00
1.87000e+03 1.00000e+00
1.87200e+03 1.00000e+00
1.87400e+03 1.00000e+00
1.87600e+03 1.00000e+00
1.87800e+03 1.00000e+00
1.88000e+03 1.00000e+00
1.88200e+03 1.00000e+00
